"","site.ID","Q","datetimeAK","fDOM.QSU","SpCond.µS.cm","Turbidity.FNU","nitrateuM","ABS_254","DateTime","MeanDischarge","SpCond.uScm"
"9131","STRT",1654.94903286267,2020-09-07 02:30:00,77.2330490142799,122.063636363636,10.8218181818182,27.6956378600135,0.226278571428571,2020-09-07 02:30:00,1654.94903286267,122.063636363636
"9132","STRT",1639.78894145926,2020-09-07 02:45:00,77.2618065293198,122.045454545455,10.7509090909091,27.697905351949,0.228542857142857,2020-09-07 02:45:00,1639.78894145926,122.045454545455
"9133","STRT",1836.87012970867,2020-09-07 03:00:00,77.121531891506,122.072727272727,11.0109090909091,27.7031961664649,0.227014285714286,2020-09-07 03:00:00,1836.87012970867,122.072727272727
"9134","STRT",1927.8306781319,2020-09-07 03:15:00,77.0172284214327,122.109090909091,11.26,27.7198244406576,0.226378571428571,2020-09-07 03:15:00,1927.8306781319,122.109090909091
"9135","STRT",1806.54994690139,2020-09-07 03:30:00,77.2431461075004,122.072727272727,11.1818181818182,27.7636626180749,0.228128571428571,2020-09-07 03:30:00,1806.54994690139,122.072727272727
"9136","STRT",1821.71003830526,2020-09-07 03:45:00,77.2435006537436,122.145454545455,10.7972727272727,27.7810467229128,0.226178571428571,2020-09-07 03:45:00,1821.71003830526,122.145454545455
"9137","STRT",1806.54994690139,2020-09-07 04:00:00,77.3099039494146,122.145454545455,11.5,27.7719767551713,0.227085714285714,2020-09-07 04:00:00,1806.54994690139,122.145454545455
"9138","STRT",1821.71003830526,2020-09-07 04:15:00,77.3176646444039,122.063636363636,11.0945454545455,27.8135474406532,0.229021428571429,2020-09-07 04:15:00,1821.71003830526,122.063636363636
"9139","STRT",1806.54994690139,2020-09-07 04:30:00,77.4537747207492,122.054545454545,10.4545454545455,27.8014541503312,0.227457142857143,2020-09-07 04:30:00,1806.54994690139,122.054545454545
"9140","STRT",1791.38985549752,2020-09-07 04:45:00,77.4992248917636,122.054545454545,10.7936363636364,27.8256407309753,0.227328571428571,2020-09-07 04:45:00,1791.38985549752,122.054545454545
"9141","STRT",1776.22976409364,2020-09-07 05:00:00,77.4840039576037,122.063636363636,10.8045454545455,27.8294198842009,0.226928571428571,2020-09-07 05:00:00,1776.22976409364,122.063636363636
"9142","STRT",1730.7494898825,2020-09-07 05:15:00,77.4726545165384,122.072727272727,11.1409090909091,27.8619206019413,0.227485714285714,2020-09-07 05:15:00,1730.7494898825,122.072727272727
"9143","STRT",1806.54994690139,2020-09-07 05:30:00,77.6778842685582,122.072727272727,11.2727272727273,27.871746400328,0.22675,2020-09-07 05:30:00,1806.54994690139,122.072727272727
"9144","STRT",1852.03022111254,2020-09-07 05:45:00,77.6514866831242,122.072727272727,11.6172727272727,27.8611647712962,0.226857142857143,2020-09-07 05:45:00,1852.03022111254,122.072727272727
"9145","STRT",1958.15086093964,2020-09-07 06:00:00,77.810522915684,122.072727272727,11.7372727272727,27.8770372148438,0.227421428571429,2020-09-07 06:00:00,1958.15086093964,122.072727272727
"9146","STRT",1973.31095234351,2020-09-07 06:15:00,77.7678427467514,122.072727272727,12.0427272727273,27.8694789083925,0.228128571428571,2020-09-07 06:15:00,1973.31095234351,122.072727272727
"9147","STRT",2018.79122655513,2020-09-07 06:30:00,78.0846423902699,122.063636363636,12.2645454545455,27.8528506341998,0.229435714285714,2020-09-07 06:30:00,2018.79122655513,122.063636363636
"9148","STRT",2003.63113515126,2020-09-07 06:45:00,78.1355964889741,122.054545454545,11.5745454545455,27.8339548680716,0.228507142857143,2020-09-07 06:45:00,2003.63113515126,122.054545454545
"9149","STRT",1958.15086093964,2020-09-07 07:00:00,78.3232907508932,122.054545454545,12.6818181818182,27.8354665293619,0.229585714285714,2020-09-07 07:00:00,1958.15086093964,122.054545454545
"9150","STRT",2079.43159217061,2020-09-07 07:15:00,78.6488839536877,122.054545454545,12.4436363636364,27.8339548680716,0.232385714285714,2020-09-07 07:15:00,2079.43159217061,122.054545454545
"9151","STRT",2033.951317959,2020-09-07 07:30:00,78.8595803465128,122.063636363636,11.2054545454545,27.8203499164594,0.230307142857143,2020-09-07 07:30:00,2033.951317959,122.063636363636
"9152","STRT",1973.31095234351,2020-09-07 07:45:00,79.2078289233575,121.981818181818,11.9554545454545,27.8218615777496,0.230978571428571,2020-09-07 07:45:00,1973.31095234351,121.981818181818
"9153","STRT",2033.951317959,2020-09-07 08:00:00,79.455945598639,122.054545454545,12.11,27.8468039890388,0.2314,2020-09-07 08:00:00,2033.951317959,122.054545454545
"9154","STRT",2049.11140936287,2020-09-07 08:15:00,79.6676738163553,122.063636363636,12.0618181818182,27.8067449648471,0.232371428571429,2020-09-07 08:15:00,2049.11140936287,122.063636363636
"9155","STRT",2124.91186638176,2020-09-07 08:30:00,79.9568774676586,122.063636363636,12.9909090909091,27.818082424524,0.234021428571429,2020-09-07 08:30:00,2124.91186638176,122.063636363636
"9156","STRT",2049.11140936287,2020-09-07 08:45:00,80.1852552614891,122.036363636364,12.3918181818182,27.7795350616225,0.234164285714286,2020-09-07 08:45:00,2049.11140936287,122.036363636364
"9157","STRT",2140.07195778564,2020-09-07 09:00:00,80.541950633269,121.981818181818,11.6236363636364,27.7991866583959,0.23415,2020-09-07 09:00:00,2140.07195778564,121.981818181818
"9158","STRT",2094.59168357449,2020-09-07 09:15:00,80.9488889126345,122.044444444444,12.3677777777778,27.7440110213016,0.237085714285714,2020-09-07 09:15:00,2094.59168357449,122.044444444444
"9159","STRT",2109.75177497789,2020-09-07 09:30:00,81.1011241429648,122.072727272727,11.4927272727273,27.7319177309796,0.235692857142857,2020-09-07 09:30:00,2109.75177497789,122.072727272727
