"","column_label","HI","Q_interval","storm.ID","site.ID","storm.num","month","day","response"
"Interpolated HI for 84% discharge...42","1",0.0134157371118375,84,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 86% discharge...43","1",0.00482363581548184,86,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 88% discharge...44","1",0.0158275550195965,88,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 90% discharge...45","1",-0.00406994271932504,90,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 92% discharge...46","1",0.120892372625861,92,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 94% discharge...47","1",0.120892372625861,94,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 96% discharge...48","1",0.190985830569764,96,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 98% discharge...49","1",0.150437141995764,98,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 100% discharge...50","1",0.150437141995764,100,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 2% discharge...51","2",-0.263785683295618,2,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 4% discharge...52","2",-0.263785683295618,4,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 6% discharge...53","2",-0.263785683295618,6,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 8% discharge...54","2",-0.263785683295618,8,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 10% discharge...55","2",-0.263785683295618,10,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 12% discharge...56","2",-0.257398999552179,12,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 14% discharge...57","2",-0.760958597986574,14,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 16% discharge...58","2",-0.760958597986574,16,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 18% discharge...59","2",-0.726153434833497,18,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 20% discharge...60","2",-0.706067121760557,20,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 22% discharge...61","2",-0.67126195860748,22,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 24% discharge...62","2",-0.708692779722283,24,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 26% discharge...63","2",-0.622531016058932,26,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 28% discharge...64","2",-0.661111831825509,28,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 30% discharge...65","2",-0.661111831825509,30,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 32% discharge...66","2",-0.595358883770291,32,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 34% discharge...67","2",-0.441214324187688,34,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 36% discharge...68","2",-0.441214324187688,36,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 38% discharge...69","2",-0.625398103567088,38,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 40% discharge...70","2",-0.60192313474559,40,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 42% discharge...71","2",-0.604472174924063,42,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 44% discharge...72","2",-0.580997206102566,44,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 46% discharge...73","2",-0.523944531684771,46,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 48% discharge...74","2",-0.523944531684771,48,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 50% discharge...75","2",-0.523944531684771,50,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 52% discharge...76","2",-0.523944531684771,52,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 54% discharge...77","2",-0.584828483299052,54,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 56% discharge...78","2",-0.451102047358668,56,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 58% discharge...79","2",-0.511985998972948,58,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 60% discharge...80","2",-0.350074942354317,60,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 62% discharge...81","2",-0.398558067143265,62,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 64% discharge...82","2",-0.20365367938055,64,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 66% discharge...83","2",-0.20365367938055,66,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
"Interpolated HI for 68% discharge...84","2",-0.233299974104129,68,"FRCH_storm1_06_21_fDOM","FRCH","storm1","06","21","fDOM"
