"","site.ID","datetimeAK","Q","day","fDOM.QSU","SpCond.µS.cm","Turbidity.FNU","nitrateuM","MeanDischarge","DateTime","fDOM.RFU","SpCond.uScm"
"1","POKE",2020-06-23 07:15:00,875.172948932159,2020-06-22 08:00:00,70.9163636363636,89.1818181818182,15.46,31.6756264645641,875.172948932159,2020-06-23 07:15:00,70.9163636363636,89.1818181818182
"2","POKE",2020-06-23 07:30:00,866.67288481677,2020-06-22 08:00:00,70.8545454545455,89.1909090909091,16.1745454545455,31.6634369039452,866.67288481677,2020-06-23 07:30:00,70.8545454545455,89.1909090909091
"3","POKE",2020-06-23 07:45:00,875.172948932159,2020-06-22 08:00:00,70.2954545454545,89.1818181818182,15.1036363636364,31.6869453422817,875.172948932159,2020-06-23 07:45:00,70.2954545454545,89.1818181818182
"4","POKE",2020-06-23 08:00:00,863.83953011164,2020-06-23 08:00:00,70.3818181818182,89.2636363636364,15.1254545454545,31.6805240558842,863.83953011164,2020-06-23 08:00:00,70.3818181818182,89.2636363636364
"5","POKE",2020-06-23 08:15:00,889.339722457691,2020-06-23 08:00:00,69.9136363636364,89.2,17.1081818181818,31.6495059775236,889.339722457691,2020-06-23 08:15:00,69.9136363636364,89.2
"6","POKE",2020-06-23 08:30:00,880.839658342418,2020-06-23 08:00:00,69.1445454545455,89.1727272727273,17.89,31.7327650299653,880.839658342418,2020-06-23 08:30:00,69.1445454545455,89.1727272727273
"7","POKE",2020-06-23 08:45:00,869.506239521899,2020-06-23 08:00:00,69.5272727272727,89.0818181818182,18.0872727272727,31.5817559642621,869.506239521899,2020-06-23 08:45:00,69.5272727272727,89.0818181818182
"8","POKE",2020-06-23 09:00:00,875.172948932159,2020-06-23 08:00:00,69.5327272727273,88.9636363636364,16.9763636363636,31.5131896857806,875.172948932159,2020-06-23 09:00:00,69.5327272727273,88.9636363636364
"9","POKE",2020-06-23 09:15:00,875.172948932159,2020-06-23 08:00:00,68.4109090909091,88.8818181818182,21.5863636363636,31.4707438943398,875.172948932159,2020-06-23 09:15:00,68.4109090909091,88.8818181818182
"10","POKE",2020-06-23 09:30:00,880.839658342418,2020-06-23 08:00:00,68.5318181818182,88.8727272727273,18.91,31.5425752337013,880.839658342418,2020-06-23 09:30:00,68.5318181818182,88.8727272727273
"11","POKE",2020-06-23 09:45:00,883.673013047548,2020-06-23 08:00:00,69.3572727272727,88.8727272727273,16.8190909090909,31.4109388625531,883.673013047548,2020-06-23 09:45:00,69.3572727272727,88.8727272727273
"12","POKE",2020-06-23 10:00:00,886.506367752561,2020-06-23 08:00:00,68.8809090909091,88.8727272727273,18.5209090909091,31.4478884681793,886.506367752561,2020-06-23 10:00:00,68.8809090909091,88.8727272727273
"13","POKE",2020-06-23 10:15:00,869.506239521899,2020-06-23 08:00:00,68.3290909090909,88.8090909090909,18.4927272727273,31.4029938810783,869.506239521899,2020-06-23 10:15:00,68.3290909090909,88.8090909090909
"14","POKE",2020-06-23 10:30:00,878.006303637289,2020-06-23 08:00:00,67.9554545454545,88.7727272727273,20.3018181818182,31.4242167767988,878.006303637289,2020-06-23 10:30:00,67.9554545454545,88.7727272727273
"15","POKE",2020-06-23 10:45:00,878.006303637289,2020-06-23 08:00:00,67.54,88.7727272727273,22.7263636363636,31.4511535290593,878.006303637289,2020-06-23 10:45:00,67.54,88.7727272727273
"16","POKE",2020-06-23 11:00:00,883.673013047548,2020-06-23 08:00:00,67.5318181818182,88.7,26.3618181818182,31.4087077376184,883.673013047548,2020-06-23 11:00:00,67.5318181818182,88.7
"17","POKE",2020-06-23 11:15:00,875.172948932159,2020-06-23 08:00:00,67.2981818181818,88.6545454545455,20.7,31.343406520017,875.172948932159,2020-06-23 11:15:00,67.2981818181818,88.6545454545455
"18","POKE",2020-06-23 11:30:00,880.839658342418,2020-06-23 08:00:00,66.2481818181818,88.6,24.2627272727273,31.3548342330973,880.839658342418,2020-06-23 11:30:00,66.2481818181818,88.6
