DateTime,Site,Discharge,NO3,fDOM,SpCond,Turb
2018-06-22T00:00:00Z,CARI,311.75,26.6,29.16,77.43,11.33
2018-06-22T00:15:00Z,CARI,237.16,26.7,29.3,77.42,9.59
2018-06-22T00:30:00Z,CARI,318.45,26.7,29.07,77.41,17.68
2018-06-22T00:45:00Z,CARI,277.29,26.7,29.44,77.39,20.93
2018-06-22T01:00:00Z,CARI,326.91,26.7,29.74,77.38,22.26
2018-06-22T01:15:00Z,CARI,329.96,26.8,29.76,77.4,18.41
2018-06-22T01:30:00Z,CARI,326.9,26.8,29.84,77.42,26.08
2018-06-22T01:45:00Z,CARI,333.22,26.9,30.33,77.45,28.15
2018-06-22T02:00:00Z,CARI,312.39,26.9,30.31,77.41,29.88
2018-06-22T02:15:00Z,CARI,282.01,26.9,30.26,77.3,24.93
2018-06-22T02:30:00Z,CARI,317.64,26.9,30.47,77.35,18.58
2018-06-22T02:45:00Z,CARI,259.21,27,30.88,77.52,25.01
2018-06-22T03:00:00Z,CARI,299.25,27,31.14,77.63,1.45
2018-06-22T03:15:00Z,CARI,338.65,27,31.16,77.72,1.47
2018-06-22T03:30:00Z,CARI,294.78,27,30.97,77.77,6.77
2018-06-22T03:45:00Z,CARI,238.5,27.1,31.37,77.84,11.46
2018-06-22T04:00:00Z,CARI,313.64,27.1,31.38,77.87,12.96
2018-06-22T04:15:00Z,CARI,319.56,27.1,31.29,77.89,21.91
2018-06-22T04:30:00Z,CARI,298.64,27.1,31.54,77.93,9.28
2018-06-22T04:45:00Z,CARI,314.2,27.2,31.41,77.97,15.24
2018-06-22T05:00:00Z,CARI,307.61,27.2,31.53,78.01,15.61
2018-06-22T05:15:00Z,CARI,313.36,27.2,31.6,78.07,11.68
2018-06-22T05:30:00Z,CARI,362.21,27.2,31.56,78.11,19.63
2018-06-22T05:45:00Z,CARI,319.12,27.3,31.61,78.15,15.89
2018-06-22T06:00:00Z,CARI,339.62,27.3,31.63,78.27,17.06
2018-06-22T06:15:00Z,CARI,335.28,27.3,31.75,78.31,19.86
2018-06-22T06:30:00Z,CARI,318.21,27.4,31.57,78.36,21.12
2018-06-22T06:45:00Z,CARI,291.4,27.4,31.54,78.41,17.9
2018-06-22T07:00:00Z,CARI,324.88,27.5,31.87,78.48,26.58
2018-06-22T07:15:00Z,CARI,294.02,27.5,31.93,78.54,27.15
2018-06-22T07:30:00Z,CARI,340.19,27.6,31.95,78.6,25.25
2018-06-22T07:45:00Z,CARI,324.48,27.6,32.04,78.64,37.15
2018-06-22T08:00:00Z,CARI,289.54,27.7,31.96,78.71,3.6
2018-06-22T08:15:00Z,CARI,303.29,27.7,31.98,78.79,10.64
2018-06-22T08:30:00Z,CARI,303.56,27.8,32,78.85,17.48
2018-06-22T08:45:00Z,CARI,303.57,27.8,32.04,78.91,12.62
2018-06-22T09:00:00Z,CARI,327.39,27.8,32.06,78.95,25.31
2018-06-22T09:15:00Z,CARI,319.46,27.9,32.08,79.02,14.98
2018-06-22T09:30:00Z,CARI,359.14,27.9,32.08,79.07,12.74
2018-06-22T09:45:00Z,CARI,296.91,28,32,79.08,9.31
2018-06-22T10:00:00Z,CARI,306.9,28,31.97,79.11,15.36
2018-06-22T10:15:00Z,CARI,276.87,28,31.88,79.16,15.41
2018-06-22T10:30:00Z,CARI,287.64,28.1,31.74,79.17,20.64
2018-06-22T10:45:00Z,CARI,303.95,28.1,31.59,79.19,19.8
2018-06-22T11:00:00Z,CARI,341.9,28.1,31.7,79.19,21.27
2018-06-22T11:15:00Z,CARI,278.96,28.2,31.5,79.22,12.82
2018-06-22T11:30:00Z,CARI,304.72,28.2,31.6,79.17,13.24
2018-06-22T11:45:00Z,CARI,342.99,28.3,31.58,79.18,10.61
2018-06-22T12:00:00Z,CARI,338.5,28.3,31.54,79.14,0.93
2018-06-22T12:15:00Z,CARI,316.28,28.3,31.53,79.1,0.95
2018-06-22T12:30:00Z,CARI,353.3,28.3,31.53,79.07,0.87
2018-06-22T12:45:00Z,CARI,320.17,28.2,31.63,79.02,1.08
2018-06-22T13:00:00Z,CARI,338.64,28.2,31.75,79.03,0.86
2018-06-22T13:15:00Z,CARI,353.16,28.2,31.85,79.03,1.37
2018-06-22T13:30:00Z,CARI,355.11,28.1,31.88,79.06,1.02
2018-06-22T13:45:00Z,CARI,368.62,28.2,32.1,79.13,1.23
2018-06-22T14:00:00Z,CARI,362.39,28.1,32.2,79.12,1.07
2018-06-22T14:15:00Z,CARI,367.87,28.1,32.4,79.14,1.03
2018-06-22T14:30:00Z,CARI,355.55,28.1,32.56,79.18,1.18
2018-06-22T14:45:00Z,CARI,375.11,28.1,32.77,79.22,1.49
2018-06-22T15:00:00Z,CARI,339.67,28.1,33,79.29,1.19
2018-06-22T15:15:00Z,CARI,349.59,28.1,33.21,79.29,1.52
2018-06-22T15:30:00Z,CARI,352.39,28.1,33.44,79.31,1.44
2018-06-22T15:45:00Z,CARI,341.65,28.1,33.59,79.26,2.12
2018-06-22T16:00:00Z,CARI,338.74,28.1,33.57,79.22,2.12
2018-06-22T16:15:00Z,CARI,307.47,28,33.68,79.21,1.92
2018-06-22T16:30:00Z,CARI,332.38,28,33.84,79.18,1.6
2018-06-22T16:45:00Z,CARI,367.37,28,34.1,79.11,1.53
2018-06-22T17:00:00Z,CARI,306.36,28,34.29,79.07,1.59
2018-06-22T17:15:00Z,CARI,366.13,28,34.47,79.04,1.55
2018-06-22T17:30:00Z,CARI,352.19,27.9,34.51,78.96,1.42
2018-06-22T17:45:00Z,CARI,354.05,28,34.8,78.88,1.35
2018-06-22T18:00:00Z,CARI,395.85,27.9,34.95,78.83,1.4
2018-06-22T18:15:00Z,CARI,360.17,27.9,34.99,78.75,1.8
2018-06-22T18:30:00Z,CARI,387.34,27.8,35.15,78.68,1.57
2018-06-22T18:45:00Z,CARI,343.1,27.8,35.38,78.61,1.47
2018-06-22T19:00:00Z,CARI,379.92,27.8,35.56,78.49,1.37
2018-06-22T19:15:00Z,CARI,359.47,27.7,35.68,78.39,1.37
2018-06-22T19:30:00Z,CARI,315.28,27.7,35.76,78.26,1.53
2018-06-22T19:45:00Z,CARI,369.4,27.6,35.83,78.16,1.44
2018-06-22T20:00:00Z,CARI,376.7,27.6,35.96,78.04,1.31
2018-06-22T20:15:00Z,CARI,349.17,27.6,36.09,77.91,1.4
2018-06-22T20:30:00Z,CARI,378.89,27.6,36.16,77.79,1.19
2018-06-22T20:45:00Z,CARI,308.67,27.4,36.18,77.68,1.33
2018-06-22T21:00:00Z,CARI,366.4,27.4,36.19,77.53,1.24
2018-06-22T21:15:00Z,CARI,366.23,27.4,36.33,77.42,1.35
2018-06-22T21:30:00Z,CARI,364.12,27.3,36.4,77.25,1.56
2018-06-22T21:45:00Z,CARI,316.91,27.3,36.28,77.18,1.51
2018-06-22T22:00:00Z,CARI,336.73,27.2,36.28,77.09,1.66
2018-06-22T22:15:00Z,CARI,352.74,27.1,36.52,77.02,1.63
2018-06-22T22:30:00Z,CARI,366.81,27.1,36.4,76.95,1.59
2018-06-22T22:45:00Z,CARI,300.57,27,36.46,76.86,1.24
2018-06-22T23:00:00Z,CARI,366.05,27,36.52,76.77,1.16
2018-06-22T23:15:00Z,CARI,368.44,27,36.43,76.67,0.98
2018-06-22T23:30:00Z,CARI,360.37,27,36.62,76.61,1.13
2018-06-22T23:45:00Z,CARI,337.08,27,36.59,76.55,0.94
2018-06-23T00:00:00Z,CARI,374.15,26.9,36.58,76.46,1.43
2018-06-23T00:15:00Z,CARI,342.07,26.9,36.68,76.41,1.28
2018-06-23T00:30:00Z,CARI,357.36,26.8,36.6,76.34,1.3
2018-06-23T00:45:00Z,CARI,373.17,26.8,36.69,76.27,1.23
2018-06-23T01:00:00Z,CARI,315.07,26.8,36.6,76.24,1.62
2018-06-23T01:15:00Z,CARI,303.22,26.8,36.64,76.17,1.92
2018-06-23T01:30:00Z,CARI,335.35,26.8,36.71,76.11,2.06
2018-06-23T01:45:00Z,CARI,324.2,26.8,36.73,76.06,2.01
2018-06-23T02:00:00Z,CARI,350.69,26.8,36.9,76.01,3.03
2018-06-23T02:15:00Z,CARI,345.22,26.7,36.94,75.94,1.77
2018-06-23T02:30:00Z,CARI,350.63,26.8,37.2,75.93,1.39
2018-06-23T02:45:00Z,CARI,367.85,26.7,37.4,75.92,1.49
2018-06-23T03:00:00Z,CARI,362.9,26.7,37.55,75.88,1.12
2018-06-23T03:15:00Z,CARI,389.25,26.7,37.68,75.89,1.06
2018-06-23T03:30:00Z,CARI,355.56,26.7,37.72,75.9,1.38
2018-06-23T03:45:00Z,CARI,367.4,26.7,37.89,75.88,1.41
2018-06-23T04:00:00Z,CARI,329.3,26.7,38.06,75.86,1.26
2018-06-23T04:15:00Z,CARI,301.96,26.7,38.2,75.88,1.44
2018-06-23T04:30:00Z,CARI,368.06,26.7,38.3,75.9,2.13
2018-06-23T04:45:00Z,CARI,369.12,26.7,38.27,75.92,2.23
2018-06-23T05:00:00Z,CARI,358.23,26.7,38.33,75.96,2.39
2018-06-23T05:15:00Z,CARI,347.43,26.8,38.28,76,1.84
2018-06-23T05:30:00Z,CARI,366.56,26.7,38.42,76.02,1.74
2018-06-23T05:45:00Z,CARI,320.53,26.7,38.53,76.07,1.21
2018-06-23T06:00:00Z,CARI,369.62,26.8,38.68,76.11,1.25
2018-06-23T06:15:00Z,CARI,315.23,26.8,38.76,76.16,1.15
2018-06-23T06:30:00Z,CARI,334.89,26.8,38.88,76.2,1.66
2018-06-23T06:45:00Z,CARI,346.76,26.9,38.8,76.24,2.42
2018-06-23T07:00:00Z,CARI,362.95,26.9,38.7,76.32,1.58
2018-06-23T07:15:00Z,CARI,326.73,26.9,38.83,76.36,1.27
2018-06-23T07:30:00Z,CARI,297.34,27,38.9,76.41,1.8
2018-06-23T07:45:00Z,CARI,361.14,27,38.89,76.48,2.34
2018-06-23T08:00:00Z,CARI,366.68,27,38.78,76.54,1.5
2018-06-23T08:15:00Z,CARI,330.38,27.1,38.98,76.61,1.55
2018-06-23T08:30:00Z,CARI,351.03,27.1,39.06,76.68,1.43
2018-06-23T08:45:00Z,CARI,327.41,27.2,39.17,76.72,1
2018-06-23T09:00:00Z,CARI,376.24,27.2,39.12,76.8,1.85
2018-06-23T09:15:00Z,CARI,313.87,27.3,39.04,76.84,1.54
2018-06-23T09:30:00Z,CARI,337.19,27.3,39.07,76.91,1.46
2018-06-23T09:45:00Z,CARI,341.3,27.3,39.15,76.94,1.2
2018-06-23T10:00:00Z,CARI,347.37,27.3,39.18,76.99,1.05
2018-06-23T10:15:00Z,CARI,347.77,27.4,39.22,77.06,1.71
2018-06-23T10:30:00Z,CARI,342.08,27.4,39.03,77.09,1.46
2018-06-23T10:45:00Z,CARI,333.51,27.4,38.99,77.17,1.3
2018-06-23T11:00:00Z,CARI,361.74,27.5,39.09,77.18,0.83
2018-06-23T11:15:00Z,CARI,323.07,27.5,39.14,77.2,1.11
2018-06-23T11:30:00Z,CARI,356.27,27.6,39.13,77.22,1.91
2018-06-23T11:45:00Z,CARI,343.84,27.6,38.85,77.26,2.76
2018-06-23T12:00:00Z,CARI,304.22,27.6,38.68,77.29,1.31
2018-06-23T12:15:00Z,CARI,334.88,27.7,38.93,77.3,1.94
2018-06-23T12:30:00Z,CARI,303.06,27.6,38.82,77.3,1.31
2018-06-23T12:45:00Z,CARI,305.65,27.7,38.84,77.31,1.06
2018-06-23T13:00:00Z,CARI,329.94,27.7,38.91,77.33,1.04
2018-06-23T13:15:00Z,CARI,330.72,27.7,38.97,77.34,1.14
2018-06-23T13:30:00Z,CARI,344.57,27.7,38.96,77.37,0.94
2018-06-23T13:45:00Z,CARI,382.8,27.7,38.95,77.41,1.07
2018-06-23T14:00:00Z,CARI,365.39,27.8,38.94,77.44,0.92
2018-06-23T14:15:00Z,CARI,336.59,27.8,38.93,77.48,0.85
2018-06-23T14:30:00Z,CARI,341.96,27.8,38.93,77.48,0.71
2018-06-23T14:45:00Z,CARI,291.81,27.8,38.95,77.5,0.86
2018-06-23T15:00:00Z,CARI,319.67,27.8,38.95,77.51,0.65
2018-06-23T15:15:00Z,CARI,285.49,27.8,38.93,77.53,0.74
2018-06-23T15:30:00Z,CARI,344.19,27.8,38.96,77.54,0.87
2018-06-23T15:45:00Z,CARI,365.88,27.8,38.82,77.56,0.85
2018-06-23T16:00:00Z,CARI,354.73,27.8,38.76,77.56,0.67
2018-06-23T16:15:00Z,CARI,368.31,27.8,38.74,77.53,0.49
2018-06-23T16:30:00Z,CARI,369.79,27.8,38.69,77.52,0.62
2018-06-23T16:45:00Z,CARI,301.55,27.8,38.65,77.51,0.68
2018-06-23T17:00:00Z,CARI,254.5,27.8,38.62,77.47,0.81
2018-06-23T17:15:00Z,CARI,309.52,27.8,38.44,77.44,0.52
2018-06-23T17:30:00Z,CARI,355.19,27.8,38.38,77.4,0.46
2018-06-23T17:45:00Z,CARI,337.05,27.8,38.46,77.38,0.42
2018-06-23T18:00:00Z,CARI,345.99,27.8,38.33,77.34,0.4
2018-06-23T18:15:00Z,CARI,307.97,27.7,38.22,77.31,0.52
2018-06-23T18:30:00Z,CARI,324.6,27.7,38.21,77.27,0.46
2018-06-23T18:45:00Z,CARI,335.75,27.7,37.95,77.24,0.67
2018-06-23T19:00:00Z,CARI,337.05,27.7,37.87,77.17,0.4
2018-06-23T19:15:00Z,CARI,302.38,27.7,37.86,77.12,0.42
2018-06-23T19:30:00Z,CARI,349.68,27.6,37.72,77.06,0.52
2018-06-23T19:45:00Z,CARI,321.81,27.6,37.81,77,0.43
2018-06-23T20:00:00Z,CARI,327.86,27.6,37.79,76.97,0.4
2018-06-23T20:15:00Z,CARI,357.67,27.6,37.53,76.91,0.54
2018-06-23T20:30:00Z,CARI,321.88,27.6,37.44,76.9,0.32
2018-06-23T20:45:00Z,CARI,338.81,27.5,37.21,76.84,0.37
2018-06-23T21:00:00Z,CARI,354,27.5,37.06,76.82,0.4
2018-06-23T21:15:00Z,CARI,335.25,27.5,36.89,76.79,0.5
2018-06-23T21:30:00Z,CARI,347.88,27.5,37.04,76.77,0.5
2018-06-23T21:45:00Z,CARI,379.86,27.5,37.01,76.75,0.4
2018-06-23T22:00:00Z,CARI,322.45,27.4,36.84,76.72,0.49
2018-06-23T22:15:00Z,CARI,338.89,27.4,36.61,76.69,0.47
2018-06-23T22:30:00Z,CARI,325.88,27.4,36.49,76.67,0.29
2018-06-23T22:45:00Z,CARI,287.49,27.4,36.36,76.63,0.38
2018-06-23T23:00:00Z,CARI,322.07,27.3,36.27,76.63,0.43
2018-06-23T23:15:00Z,CARI,341.3,27.3,36.5,76.63,0.34
2018-06-23T23:30:00Z,CARI,360.44,27.3,36.54,76.65,0.27
2018-06-23T23:45:00Z,CARI,294.2,27.3,36.3,76.65,0.33
2018-06-24T00:00:00Z,CARI,300.56,27.3,36.15,76.63,0.31
2018-06-24T00:15:00Z,CARI,355.83,27.2,36.05,76.64,0.8
2018-06-24T00:30:00Z,CARI,348.57,27.2,35.87,76.63,0.56
2018-06-24T00:45:00Z,CARI,357.29,27.2,35.75,76.62,0.45
2018-06-24T01:00:00Z,CARI,329.41,27.2,35.97,76.63,0.63
2018-06-24T01:15:00Z,CARI,316.07,27.1,36.09,76.46,0.51
2018-06-24T01:30:00Z,CARI,338.61,27.1,36.7,76.52,0.51
2018-06-24T01:45:00Z,CARI,307.38,27.1,36.57,76.58,0.64
2018-06-24T02:00:00Z,CARI,346.23,27.1,36.36,76.63,0.43
2018-06-24T02:15:00Z,CARI,327.48,27,36.31,76.69,0.63
2018-06-24T02:30:00Z,CARI,338.64,27,36.27,76.7,2.08
2018-06-24T02:45:00Z,CARI,332.47,27,35.97,76.74,1.66
2018-06-24T03:00:00Z,CARI,313.62,27,35.97,76.78,1.27
2018-06-24T03:15:00Z,CARI,340.28,27,36.12,76.82,1.08
2018-06-24T03:30:00Z,CARI,337.98,27,36.24,76.86,0.99
2018-06-24T03:45:00Z,CARI,345.7,27,36.31,76.89,1.71
2018-06-24T04:00:00Z,CARI,290.77,27,36.23,76.92,1.99
2018-06-24T04:15:00Z,CARI,311.89,27,36.13,76.95,1.84
2018-06-24T04:30:00Z,CARI,289.87,27,36.23,77.02,1.15
2018-06-24T04:45:00Z,CARI,321.71,27,36.4,77.01,2.05
2018-06-24T05:00:00Z,CARI,356.83,27,36.11,77.09,1.61
2018-06-24T05:15:00Z,CARI,319.65,27,36.34,77.13,2.2
2018-06-24T05:30:00Z,CARI,341.63,27.1,36.45,77.18,1.84
2018-06-24T05:45:00Z,CARI,362.34,27,36.61,77.26,2.19
2018-06-24T06:00:00Z,CARI,323.34,27.1,36.57,77.32,2.49
2018-06-24T06:15:00Z,CARI,343.86,27.1,36.52,77.43,2.19
2018-06-24T06:30:00Z,CARI,318.93,27.1,36.64,77.46,2
2018-06-24T06:45:00Z,CARI,311.28,27.1,36.55,77.57,1.96
2018-06-24T07:00:00Z,CARI,346.4,27.2,36.54,77.61,1.97
2018-06-24T07:15:00Z,CARI,324.8,27.2,36.68,77.73,2.02
2018-06-24T07:30:00Z,CARI,285.72,27.2,36.7,77.79,1.24
2018-06-24T07:45:00Z,CARI,329.93,27.3,36.78,77.84,2.36
2018-06-24T08:00:00Z,CARI,321.21,27.3,36.78,77.92,1.25
2018-06-24T08:15:00Z,CARI,307.56,27.3,36.84,78,1.37
2018-06-24T08:30:00Z,CARI,337.87,27.4,36.74,78.03,1.28
2018-06-24T08:45:00Z,CARI,293.26,27.4,36.6,78.1,1.31
2018-06-24T09:00:00Z,CARI,303.08,27.4,36.64,78.16,1.24
2018-06-24T09:15:00Z,CARI,296.61,27.5,36.59,78.22,1.72
2018-06-24T09:30:00Z,CARI,361.13,27.5,36.58,78.32,1.81
2018-06-24T09:45:00Z,CARI,308.59,27.6,36.56,78.34,1.36
2018-06-24T10:00:00Z,CARI,336.15,27.6,36.6,78.44,1.2
2018-06-24T10:15:00Z,CARI,319.48,27.7,36.6,78.48,1.49
2018-06-24T10:30:00Z,CARI,331.5,27.7,36.54,78.49,2.31
2018-06-24T10:45:00Z,CARI,330.24,27.8,36.41,78.5,2.3
2018-06-24T11:00:00Z,CARI,342.22,27.7,36.38,78.55,1.29
2018-06-24T11:15:00Z,CARI,294.39,27.7,36.5,78.58,0.9
2018-06-24T11:30:00Z,CARI,352.83,27.8,36.52,78.63,1.03
2018-06-24T11:45:00Z,CARI,331.4,27.9,36.58,78.66,0.83
