"min","Site.Name","fDOM.QSU.mn","fDOM.QSU.SD","SpCond.µS.cm.mn","SpCond.µS.cm.SD","Turbidity.FNU.mn","Turbidity.FNU.SD","Temp..C.mn","Temp..C.SD","Battery.V.mn","Battery.V.SD","Cable.Pwr.V.mn","Cable.Pwr.V.SD","datetimeAK","SpCond.uScm.mn.adj","Turbidity.FNU.mn.adj","fDOM.QSU.mn.adj"
2018-05-30 10:30:00,"MOOS",96.7666666666667,0.0458984386081564,86.5833333333333,0.040824829046384,26.1266666666667,2.76374142543521,7.177,0,6.2,0,0,0,2018-05-30 10:30:00,86.5833333333333,26.1266666666667,96.7666666666667
2018-05-30 10:45:00,"MOOS",95.6083333333333,0.0661563803927234,86.75,0.0547722557505135,23.1816666666667,2.55686070537029,7.21266666666667,0.000516397779494495,6.2,0,0,0,2018-05-30 10:45:00,86.75,23.1816666666667,95.6083333333333
2018-05-30 11:00:00,"MOOS",95.285,0.0875785361832466,86.9166666666667,0.040824829046384,24.1166666666667,2.34804315690037,7.24016666666667,0.000408248290463637,6.2,0,0,0,2018-05-30 11:00:00,86.9166666666667,24.1166666666667,95.285
2018-05-30 11:15:00,"MOOS",95.1733333333333,0.0647044563122719,87.0333333333333,0.0516397779494293,25.1633333333333,2.40421851474999,7.288,0,6.2,0,0,0,2018-05-30 11:15:00,87.0333333333333,25.1633333333333,95.1733333333333
2018-05-30 11:30:00,"MOOS",94.3916666666667,0.0172240142436843,87.1166666666667,0.0408248290463898,25.025,1.76702857928218,7.28866666666667,0.000516397779494036,6.2,0,0,0,2018-05-30 11:30:00,87.1166666666667,25.025,94.3916666666667
2018-05-30 11:45:00,"MOOS",94.485,0.034496376621319,87.2333333333333,0.0516397779494293,24.5783333333333,4.07465540465285,7.302,0,6.2,0,0,0,2018-05-30 11:45:00,87.2333333333333,24.5783333333333,94.485
2018-05-30 12:00:00,"MOOS",94.315,0.0361939221417097,87.3,0,24.1516666666667,3.48126078693721,7.348,0,6.2,0,0,0,2018-05-30 12:00:00,87.3,24.1516666666667,94.315
2018-05-30 12:15:00,"MOOS",94.2183333333333,0.0386867763798771,87.4,0,28.2116666666667,4.23419138285773,7.35483333333333,0.000408248290463999,6.2,0,0,0,2018-05-30 12:15:00,87.4,28.2116666666667,94.2183333333333
2018-05-30 12:30:00,"MOOS",94.2716666666667,0.0263944438597714,87.45,0.0547722557505135,26.24,2.92866522497878,7.39183333333333,0.000408248290463999,6.2,0,0,0,2018-05-30 12:30:00,87.45,26.24,94.2716666666667
2018-05-30 12:45:00,"MOOS",93.9683333333333,0.0376386326354537,87.5,0,32.89,10.1219444772237,7.397,0,6.2,0,0,0,2018-05-30 12:45:00,87.5,32.89,93.9683333333333
