...1,storm.num,storm_start,storm_end,duration_days,total_storm_ppt,intensity,prev7,prev30,site.ID
3,storm2b,2020-06-20,2020-06-23,4,35.941,8.98525,33.402,71.625,CARI
4,storm3,2020-06-23,2020-06-26,4,16.637,4.15925,53.722,99.565,CARI
5,storm4,2020-07-09,2020-07-11,3,11.43,3.81,8.256,116.584,CARI
6,storm5,2020-07-13,2020-07-15,3,20.32,6.77333333333333,11.43,108.46,CARI
7,storm6,2020-07-24,2020-07-26,3,10.033,3.34433333333333,33.147,98.553,CARI
8,storm7,2020-07-27,2020-07-30,4,18.034,4.5085,26.416,99.95,CARI
9,storm8a,2020-08-02,2020-08-03,2,52.705,26.3525,22.352,111.507,CARI
10,storm8b,2020-08-03,2020-08-08,6,46.228,7.70466666666667,32.258,121.413,CARI
11,storm9,2020-09-07,2020-09-08,2,21.336,10.668,23.368,61.849,CARI
1,storm1,2021-05-16,2021-05-18,3,9.525,3.175,0.508,1.651,CARI
2,storm10,2021-08-22,2021-08-24,3,13.716,4.572,83.312,159.385,CARI
3,storm2,2021-08-27,2021-08-28,2,14.351,7.1755,40.894,154.432,CARI
4,storm3,2021-06-02,2021-08-29,89,1.651,0.0185505617977528,6.477,18.923,CARI
5,storm4,2021-06-02,2021-06-20,19,3.175,0.167105263157895,6.477,18.923,CARI
6,storm5,2021-06-20,2021-07-29,40,29.591,0.739775,11.811,35.687,CARI
7,storm6,2021-07-29,2021-08-10,13,20.828,1.60215384615385,38.354,54.229,CARI
8,storm7,2021-08-09,2021-08-17,9,90.932,10.1035555555556,10.414,49.53,CARI
9,storm8,2021-08-16,2021-08-21,6,59.69,9.94833333333333,53.213,102.108,CARI
10,storm9,2021-08-21,2021-08-22,2,2.667,1.3335,81.915,159.004,CARI
1,storm1,2022-07-16,2022-07-18,3,8.382,2.794,19.685,31.369,CARI
2,storm2,2022-07-19,2022-07-21,3,7.366,2.45533333333333,18.161,36.322,CARI
3,storm3,2022-08-02,2022-08-04,3,3.302,1.10066666666667,13.462,50.673,CARI
4,storm4a,2022-08-05,2022-08-06,2,15.875,7.9375,11.303,52.705,CARI
5,storm4b,2022-08-06,2022-08-08,3,21.717,7.239,18.161,59.563,CARI
6,storm5,2022-08-08,2022-08-12,5,14.732,2.9464,25.273,69.596,CARI
7,storm6,2022-08-16,2022-08-16,1,0,0,9.399,66.93,CARI
