Discharge_Lsec,day
324.6397212162929,2021-05-04
324.6483911115135,2021-05-05
324.6590617517829,2021-05-06
324.6697323920541,2021-05-07
324.6804030323262,2021-05-08
324.6910736725943,2021-05-09
324.70174431286523,2021-05-10
324.7124149531398,2021-05-11
324.7230855934122,2021-05-12
324.73375623369003,2021-05-13
324.74442687397124,2021-05-14
324.75509751425915,2021-05-15
324.7657681545452,2021-05-16
324.7764387948352,2021-05-17
324.7871094351246,2021-05-18
324.7977800754158,2021-05-19
324.80845071570667,2021-05-20
324.81912135600095,2021-05-21
324.82979199629517,2021-05-22
324.84046263657484,2021-05-23
324.8511332768391,2021-05-24
324.86180391709996,2021-05-25
324.87247455736633,2021-05-26
324.88314519763145,2021-05-27
324.89381583787144,2021-05-28
324.9044864780796,2021-05-29
324.915157118285,2021-05-30
324.92582775848615,2021-05-31
324.9364983986828,2021-06-01
324.9471690388776,2021-06-02
324.9578396790691,2021-06-03
324.9685103192557,2021-06-04
324.9791809594399,2021-06-05
324.9898515996204,2021-06-06
325.0005222397983,2021-06-07
325.01119287997034,2021-06-08
325.0218635201384,2021-06-09
325.032534160309,2021-06-10
325.0432048005693,2021-06-11
325.05387544086534,2021-06-12
325.06454608115837,2021-06-13
325.0752167214484,2021-06-14
325.08588736173414,2021-06-15
325.0965580020168,2021-06-16
325.10722864229473,2021-06-17
325.1178992825714,2021-06-18
325.12856992284196,2021-06-19
325.13924056311834,2021-06-20
325.1499112035505,2021-06-21
325.1605818440424,2021-06-22
325.1712524845413,2021-06-23
325.1819231250456,2021-06-24
325.1925937655557,2021-06-25
325.2032644060755,2021-06-26
325.2139350465962,2021-06-27
325.22460568712387,2021-06-28
325.2352763276588,2021-06-29
282.7515317462148,2021-06-30
281.1970418437231,2021-07-01
279.5967420965504,2021-07-02
274.328932328074,2021-07-03
271.239607574283,2021-07-04
271.19445218709893,2021-07-05
274.20175592046076,2021-07-06
276.9760062438934,2021-07-07
274.4901824739386,2021-07-08
273.6854343965407,2021-07-09
269.30328656629257,2021-07-10
267.07786782591296,2021-07-11
266.07115177646006,2021-07-12
262.05977436902936,2021-07-13
260.39295596424955,2021-07-14
263.7288059626543,2021-07-15
259.27166323618184,2021-07-16
256.22708549842133,2021-07-17
253.91211849293782,2021-07-18
255.7988856342043,2021-07-19
255.84757928802446,2021-07-20
251.01885520454982,2021-07-21
247.99227083349524,2021-07-22
254.62466729586362,2021-07-23
278.7203989089481,2021-07-24
265.67054255408794,2021-07-25
256.5489748141791,2021-07-26
258.96109688177967,2021-07-27
379.9210983036635,2021-07-28
316.14150994818476,2021-07-29
287.37543887304497,2021-07-30
271.41028634374067,2021-07-31
257.91040198936145,2021-08-01
250.1792088664032,2021-08-02
244.76171359970215,2021-08-03
236.10741801103325,2021-08-04
232.45903683504866,2021-08-05
265.1062020906035,2021-08-06
277.2634525021543,2021-08-07
279.15912053512204,2021-08-08
367.1545129007311,2021-08-09
323.2312171130622,2021-08-10
309.35291319187513,2021-08-11
290.0464709957873,2021-08-12
287.3160685383371,2021-08-13
272.64087624260236,2021-08-14
304.894795546689,2021-08-15
518.8408641918008,2021-08-16
540.585279991315,2021-08-17
457.49329466323724,2021-08-18
400.27471396188196,2021-08-19
490.93071197483766,2021-08-20
552.4252378293426,2021-08-21
474.90932976874313,2021-08-22
429.0884402063779,2021-08-23
443.33532743062074,2021-08-24
489.80484504498344,2021-08-25
521.2704619646304,2021-08-26
622.5685145519257,2021-08-27
777.4891070511208,2021-08-28
614.6896750928692,2021-08-29
548.0771617532034,2021-08-30
520.3918374782155,2021-08-31
505.08179411318093,2021-09-01
498.81343378568965,2021-09-02
493.7031896235664,2021-09-03
484.62932475098177,2021-09-04
489.19950271130824,2021-09-05
480.82174717766895,2021-09-06
464.9034476618293,2021-09-07
458.36573921711596,2021-09-08
450.4624574220818,2021-09-09
443.2715334118394,2021-09-10
437.9720201292641,2021-09-11
434.1264765572575,2021-09-12
427.1695964373471,2021-09-13
415.80311859872575,2021-09-14
410.9402781601862,2021-09-15
408.48299841516143,2021-09-16
400.41569893001105,2021-09-17
392.724221115747,2021-09-18
391.22916867844265,2021-09-19
403.41260818666075,2021-09-20
389.49505508556496,2021-09-21
380.2780349614346,2021-09-22
386.51259144120445,2021-09-23
385.7357565659417,2021-09-24
374.01766306384064,2021-09-25
377.8649066680655,2021-09-26
NA,2021-09-27
NA,2021-09-28
NA,2021-09-29
NA,2021-09-30
