"","DateTime","fDOM.QSU","Q","Site","day","nitrateuM","SpCond.uScm","Turbidity.FNU"
"1",2021-05-05 14:00:00,150.854,619.036892839824,"MOOS",2021-05-05,19.3,58.94,20.868
"2",2021-05-05 14:15:00,150.463333333333,619.024903571466,"MOOS",2021-05-05,19.8825,59.0666666666667,21.4166666666667
"3",2021-05-05 14:30:00,150.26,619.012914303108,"MOOS",2021-05-05,19.6925,59.14,21.892
"4",2021-05-05 14:45:00,150.08,619.00092503475,"MOOS",2021-05-05,19.545,59.0333333333333,22.63
"5",2021-05-05 15:00:00,149.77,618.988935766392,"MOOS",2021-05-05,19.7425,59.1,22.98
"6",2021-05-05 15:15:00,149.316666666667,618.976946498035,"MOOS",2021-05-05,19.5575,59.2166666666667,23.4516666666667
"7",2021-05-05 15:30:00,148.988,618.96495722956,"MOOS",2021-05-05,19.545,59.28,24.048
"8",2021-05-05 15:45:00,148.723333333333,618.952967961202,"MOOS",2021-05-05,19.4725,59.3833333333333,24.335
"9",2021-05-05 16:00:00,148.08,618.940978692845,"MOOS",2021-05-05,19.3125,59.48,24.93
"10",2021-05-05 16:15:00,147.605,618.928989424487,"MOOS",2021-05-05,19.72,59.5666666666667,25.0816666666667
"11",2021-05-05 16:30:00,147.054,618.917000156129,"MOOS",2021-05-05,19.525,59.76,25.66
"12",2021-05-05 16:45:00,146.086666666667,618.905010887771,"MOOS",2021-05-05,19.415,59.9333333333333,25.935
"13",2021-05-05 17:00:00,145.614,618.893021619413,"MOOS",2021-05-05,19.5375,60.08,26.346
"14",2021-05-05 17:15:00,145.003333333333,618.881032351055,"MOOS",2021-05-05,19.675,60.2333333333333,26.7433333333333
"15",2021-05-05 17:30:00,144.58,618.869043082697,"MOOS",2021-05-05,19.1875,60.28,26.942
"16",2021-05-05 17:45:00,144.223333333333,618.857053814339,"MOOS",2021-05-05,19.37,60.45,27.3433333333333
"17",2021-05-05 18:00:00,144.098,618.845064545865,"MOOS",2021-05-05,19.3375,60.64,27.858
"18",2021-05-05 18:15:00,143.463333333333,618.833075277507,"MOOS",2021-05-05,19.2625,60.4833333333333,28.0283333333333
"19",2021-05-05 18:30:00,143.188,618.821086009149,"MOOS",2021-05-05,19.42,60.64,27.238
"20",2021-05-05 18:45:00,142.718333333333,618.809096740792,"MOOS",2021-05-05,19.325,60.6833333333333,28.2516666666667
"21",2021-05-05 19:00:00,142.44,618.797107472434,"MOOS",2021-05-05,19.235,60,29.192
