,column_label,HI,Q_interval,storm.ID,site.ID,storm.num,month,day,response,
Interpolated HI for 2% discharge...1,1,-0.160952381,2,FRCH_storm1_07_23_NO3,FRCH,storm1,7,23,NO3,
Interpolated HI for 4% discharge...2,1,-0.113333333,4,FRCH_storm1_07_23_NO3,FRCH,storm1,7,23,NO3,
Interpolated HI for 6% discharge...3,1,-0.097619048,6,FRCH_storm1_07_23_NO3,FRCH,storm1,7,23,NO3,
Interpolated HI for 8% discharge...4,1,-0.208095238,8,FRCH_storm1_07_23_NO3,FRCH,storm1,7,23,NO3,
Interpolated HI for 10% discharge...5,1,-0.149761905,10,FRCH_storm1_07_23_NO3,FRCH,storm1,7,23,NO3,
Interpolated HI for 12% discharge...6,1,0.00547619,12,FRCH_storm1_07_23_NO3,FRCH,storm1,7,23,NO3,
Interpolated HI for 14% discharge...7,1,0.02547619,14,FRCH_storm1_07_23_NO3,FRCH,storm1,7,23,NO3,
Interpolated HI for 16% discharge...8,1,0.069285714,16,FRCH_storm1_07_23_NO3,FRCH,storm1,7,23,NO3,
Interpolated HI for 18% discharge...9,1,0.119285714,18,FRCH_storm1_07_23_NO3,FRCH,storm1,7,23,NO3,
Interpolated HI for 20% discharge...10,1,0.146190476,20,FRCH_storm1_07_23_NO3,FRCH,storm1,7,23,NO3,
Interpolated HI for 22% discharge...11,1,0.082857143,22,FRCH_storm1_07_23_NO3,FRCH,storm1,7,23,NO3,
Interpolated HI for 24% discharge...12,1,-0.023809524,24,FRCH_storm1_07_23_NO3,FRCH,storm1,7,23,NO3,
Interpolated HI for 26% discharge...13,1,-0.116190476,26,FRCH_storm1_07_23_NO3,FRCH,storm1,7,23,NO3,
Interpolated HI for 28% discharge...14,1,-0.238333333,28,FRCH_storm1_07_23_NO3,FRCH,storm1,7,23,NO3,
Interpolated HI for 30% discharge...15,1,-0.270714286,30,FRCH_storm1_07_23_NO3,FRCH,storm1,7,23,NO3,
Interpolated HI for 32% discharge...16,1,-0.316666667,32,FRCH_storm1_07_23_NO3,FRCH,storm1,7,23,NO3,
Interpolated HI for 34% discharge...17,1,-0.415714286,34,FRCH_storm1_07_23_NO3,FRCH,storm1,7,23,NO3,
Interpolated HI for 36% discharge...18,1,-0.487142857,36,FRCH_storm1_07_23_NO3,FRCH,storm1,7,23,NO3,
Interpolated HI for 38% discharge...19,1,-0.690952381,38,FRCH_storm1_07_23_NO3,FRCH,storm1,7,23,NO3,
Interpolated HI for 40% discharge...20,1,-0.695,40,FRCH_storm1_07_23_NO3,FRCH,storm1,7,23,NO3,
Interpolated HI for 42% discharge...21,1,-0.606666667,42,FRCH_storm1_07_23_NO3,FRCH,storm1,7,23,NO3,
Interpolated HI for 44% discharge...22,1,-0.455,44,FRCH_storm1_07_23_NO3,FRCH,storm1,7,23,NO3,
