"","site.ID","datetimeAK","fDOM","SPC","Turb","NO3","Q","MeanDischarge","DateTime","nitrateuM","fDOM.QSU","SpCond.uScm","Turbidity.FNU"
"13272","POKE",2021-07-27 09:35:00,NA,NA,NA,NA,407.679661056929,407.679661056929,2021-07-27 09:35:00,NA,NA,NA,NA
"13273","POKE",2021-07-27 09:40:00,NA,NA,NA,NA,408.865428657475,408.865428657475,2021-07-27 09:40:00,NA,NA,NA,NA
"13274","POKE",2021-07-27 09:45:00,24.28,131.6,3.002,17.8170115331897,408.865428657475,408.865428657475,2021-07-27 09:45:00,17.8170115331897,24.28,131.6,3.002
"13275","POKE",2021-07-27 09:50:00,NA,NA,NA,NA,413.750100803998,413.750100803998,2021-07-27 09:50:00,NA,NA,NA,NA
"13276","POKE",2021-07-27 09:55:00,NA,NA,NA,NA,412.713499754347,412.713499754347,2021-07-27 09:55:00,NA,NA,NA,NA
"13277","POKE",2021-07-27 10:00:00,24.12,131.6,3.084,17.7963143888261,413.600934253132,413.600934253132,2021-07-27 10:00:00,17.7963143888261,24.12,131.6,3.084
"13278","POKE",2021-07-27 10:05:00,NA,NA,NA,NA,413.600934253132,413.600934253132,2021-07-27 10:05:00,NA,NA,NA,NA
"13279","POKE",2021-07-27 10:10:00,NA,NA,NA,NA,413.600934253132,413.600934253132,2021-07-27 10:10:00,NA,NA,NA,NA
"13280","POKE",2021-07-27 10:15:00,24.07,131.5,3.005,17.7955478279237,413.600934253132,413.600934253132,2021-07-27 10:15:00,17.7955478279237,24.07,131.5,3.005
"13281","POKE",2021-07-27 10:20:00,NA,NA,NA,NA,411.527732153831,411.527732153831,2021-07-27 10:20:00,NA,NA,NA,NA
"13282","POKE",2021-07-27 10:25:00,NA,NA,NA,NA,410.789464205911,410.789464205911,2021-07-27 10:25:00,NA,NA,NA,NA
"13283","POKE",2021-07-27 10:30:00,24.08,131.5,2.882,17.8062796805568,409.603696605365,409.603696605365,2021-07-27 10:30:00,17.8062796805568,24.08,131.5,2.882
"13284","POKE",2021-07-27 10:35:00,NA,NA,NA,NA,406.94139310898,406.94139310898,2021-07-27 10:35:00,NA,NA,NA,NA
"13285","POKE",2021-07-27 10:40:00,NA,NA,NA,NA,407.679661056929,407.679661056929,2021-07-27 10:40:00,NA,NA,NA,NA
"13286","POKE",2021-07-27 10:45:00,24.08,131.5,2.96,17.8193112158968,403.831589959969,403.831589959969,2021-07-27 10:45:00,17.8193112158968,24.08,131.5,2.96
"13287","POKE",2021-07-27 10:50:00,NA,NA,NA,NA,400.870953361882,400.870953361882,2021-07-27 10:50:00,NA,NA,NA,NA
"13288","POKE",2021-07-27 10:55:00,NA,NA,NA,NA,402.794988910347,402.794988910347,2021-07-27 10:55:00,NA,NA,NA,NA
"13289","POKE",2021-07-27 11:00:00,24.03,131.5,2.894,17.8062796805568,405.755625508464,405.755625508464,2021-07-27 11:00:00,17.8062796805568,24.03,131.5,2.894
"13290","POKE",2021-07-27 11:05:00,NA,NA,NA,NA,407.828827607795,407.828827607795,2021-07-27 11:05:00,NA,NA,NA,NA
"13291","POKE",2021-07-27 11:10:00,NA,NA,NA,NA,412.713499754347,412.713499754347,2021-07-27 11:10:00,NA,NA,NA,NA
"13292","POKE",2021-07-27 11:15:00,23.97,131.4,2.78,17.8055131196544,414.637535302783,414.637535302783,2021-07-27 11:15:00,17.8055131196544,23.97,131.4,2.78
"13293","POKE",2021-07-27 11:20:00,NA,NA,NA,NA,415.823302903358,415.823302903358,2021-07-27 11:20:00,NA,NA,NA,NA
"13294","POKE",2021-07-27 11:25:00,NA,NA,NA,NA,414.786701853678,414.786701853678,2021-07-27 11:25:00,NA,NA,NA,NA
"13295","POKE",2021-07-27 11:30:00,23.89,131.4,2.742,17.7763838053649,418.634772950551,418.634772950551,2021-07-27 11:30:00,17.7763838053649,23.89,131.4,2.742
"13296","POKE",2021-07-27 11:35:00,NA,NA,NA,NA,418.933106052311,418.933106052311,2021-07-27 11:35:00,NA,NA,NA,NA
"13297","POKE",2021-07-27 11:40:00,NA,NA,NA,NA,418.783939501445,418.783939501445,2021-07-27 11:40:00,NA,NA,NA,NA
"13298","POKE",2021-07-27 11:45:00,23.81,131.4,2.76,17.7740841226578,419.820540551096,419.820540551096,2021-07-27 11:45:00,17.7740841226578,23.81,131.4,2.76
"13299","POKE",2021-07-27 11:50:00,NA,NA,NA,NA,418.783939501445,418.783939501445,2021-07-27 11:50:00,NA,NA,NA,NA
"13300","POKE",2021-07-27 11:55:00,NA,NA,NA,NA,420.707975049852,420.707975049852,2021-07-27 11:55:00,NA,NA,NA,NA
"13301","POKE",2021-07-27 12:00:00,23.78,131.3,2.792,34.0785714285714,420.857141600776,420.857141600776,2021-07-27 12:00:00,34.0785714285714,23.78,131.3,2.792
"13302","POKE",2021-07-27 12:00:00,23.78,131.3,2.792,34.0785714285714,420.857141600776,420.857141600776,2021-07-27 12:00:00,34.0785714285714,23.78,131.3,2.792
"13303","POKE",2021-07-27 12:00:00,23.78,131.3,2.792,34.0785714285714,420.857141600776,420.857141600776,2021-07-27 12:00:00,34.0785714285714,23.78,131.3,2.792
"13304","POKE",2021-07-27 12:00:00,23.78,131.3,2.792,34.0785714285714,420.857141600776,420.857141600776,2021-07-27 12:00:00,34.0785714285714,23.78,131.3,2.792
"13305","POKE",2021-07-27 12:05:00,NA,NA,NA,NA,421.744576099532,421.744576099532,2021-07-27 12:05:00,NA,NA,NA,NA
"13306","POKE",2021-07-27 12:10:00,NA,NA,NA,NA,424.854379248543,424.854379248543,2021-07-27 12:10:00,NA,NA,NA,NA
"13307","POKE",2021-07-27 12:15:00,NA,NA,1.622,34.0785714285714,421.893742650427,421.893742650427,2021-07-27 12:15:00,34.0785714285714,NA,NA,1.622
"13308","POKE",2021-07-27 12:20:00,NA,NA,NA,NA,420.857141600776,420.857141600776,2021-07-27 12:20:00,NA,NA,NA,NA
"13309","POKE",2021-07-27 12:25:00,NA,NA,NA,NA,423.966944749787,423.966944749787,2021-07-27 12:25:00,NA,NA,NA,NA
"13310","POKE",2021-07-27 12:30:00,NA,NA,NA,NA,421.893742650427,421.893742650427,2021-07-27 12:30:00,NA,NA,NA,NA
"13311","POKE",2021-07-27 12:35:00,NA,NA,NA,NA,425.741813747329,425.741813747329,2021-07-27 12:35:00,NA,NA,NA,NA
