"response_var","site.ID","year","pf","burn","Pf_Prob_1m_mean_x","pctburn_lg","SLOPE_MEAN","NDVI_p50__mean","Hyst_index_mn","Hyst_index_md","Hyst_index_SD","Hyst_index_CV","Flush_index_mn","Flush_index_md","Flush_index_SD","Flush_index_CV","Beta_index_mn","Beta_index_md","Beta_index_SD","Beta_index_CV"
"NO3","FRCH",2022,"medium","unburned",32.9,7.34,12.34739776,0.212593913,0.670150883169323,0.645849129365613,0.149947979397517,22.3752565524309,NA,NA,NA,NA,-0.280553423541854,-0.301323579872722,0.117998586532459,-42.0592217492066
"NO3","MOOS",2015,"high","burned",38.4,65.7,10.21119216,0.223090712,0.276309536216749,0.133232628398798,0.401758128019099,145.401470220681,NA,NA,NA,NA,-0.122316409931954,-0.190464558954529,0.293624259411482,-240.05303914236
"NO3","MOOS",2018,"high","burned",38.4,65.7,10.21119216,0.223090712,0.167334697537309,0.291838187084404,0.4109043000554,245.558336736339,-0.04995,-0.02305,0.207949822244282,-416.315960449013,-0.115128515324054,-0.220422609766883,0.513548264164156,-446.065219132433
"NO3","MOOS",2019,"high","burned",38.4,65.7,10.21119216,0.223090712,0.221029455216965,0.217804470152472,0.0967142970797621,43.7562934699479,-0.091575,-0.08295,0.162639465792695,-177.602474248098,-0.451576299761596,-0.396848176045863,0.299051983284042,-66.2240209333224
"NO3","MOOS",2020,"high","burned",38.4,65.7,10.21119216,0.223090712,0.199679303400323,0.210696182360314,0.43957933707601,220.142663556236,-0.0863666666666667,-0.0524,0.177563291532907,-205.59238695435,-0.370388611372524,-0.488884562565736,0.302787521407802,-81.7486046036305
"NO3","MOOS",2022,"high","burned",38.4,65.7,10.21119216,0.223090712,0.516976281391102,0.529570788623815,0.0687872498545243,13.3056877714832,NA,NA,NA,NA,-0.400199307314616,-0.457770639416166,0.180794926433144,-45.1762217296925
"NO3","POKE",2019,"low","burned",25.3,32.97,11.54780238,0.231690279,0.232801306331015,0.137103495226971,0.370843807740681,159.296274400362,0.227285714285714,0.3571,0.413303925413133,181.843336134,0.189564724637604,-0.00990420174568035,0.702050010379282,370.348445219124
"NO3","POKE",2020,"low","burned",25.3,32.97,11.54780238,0.231690279,0.146027188220655,0.189196108550952,0.318503939332791,218.112765994996,-0.107553846153846,-0.0656,0.270642536738606,-251.63445698769,-0.156734975472607,-0.455539860973644,1.30823266803151,-834.678197439188
"NO3","POKE",2021,"low","burned",25.3,32.97,11.54780238,0.231690279,0.213684883991026,0.458333333333333,0.416131562302613,194.740757759959,-0.560675,-0.5834,0.316989194085014,-56.5370658732802,-0.380131757865074,-0.352343413798341,0.398859938671,-104.926760371485
"NO3","POKE",2022,"low","burned",25.3,32.97,11.54780238,0.231690279,0.533798979883702,0.57245277271185,0.144283764525641,27.0296066427621,NA,NA,NA,NA,-0.213587276087486,-0.0981906264703913,0.280246756982594,-131.209481255711
"NO3","STRT",2019,"medium","burned",30.8,67.35,13.65744347,0.226596282,0.23020783496225,0.185717339522385,0.414775163610451,180.174216780444,-0.10885,-0.12865,0.458613683834227,-421.32630577329,0.0913302672690572,-0.152684367915505,0.603797722152289,661.114590164849
"NO3","STRT",2020,"medium","burned",30.8,67.35,13.65744347,0.226596282,0.428872276828484,0.576994091580469,0.327692758999902,76.4080069299872,NA,NA,NA,NA,-0.361165248314895,-0.320255636073217,0.247125375628145,-68.4244613182383
"NO3","STRT",2021,"medium","burned",30.8,67.35,13.65744347,0.226596282,0.292254399537276,0.499140893470779,0.526485575123883,180.146330032145,-0.5174,-0.5174,0.221183001155152,-42.7489372159165,-0.421178577838372,-0.386873524637844,0.0918378907349979,-21.80497669334
"NO3","STRT",2022,"medium","burned",30.8,67.35,13.65744347,0.226596282,0.353393594276515,0.520335442649066,0.500820188326227,141.717392855275,NA,NA,NA,NA,0.244111070991862,-0.177213290467882,0.794809790525951,325.593504340673
"NO3","VAUL",2019,"high","unburned",58.4,0,9.408608243,0.215417079,0.101089653292261,-0.0324035058149323,0.34552667344829,341.802214366425,-0.1629125,-0.03435,0.238265970458585,-146.253952556486,-0.246498604733111,-0.252288380448983,0.422367421205513,-171.346779695901
"NO3","VAUL",2020,"high","unburned",58.4,0,9.408608243,0.215417079,0.3783805145778,0.47452616451635,0.260684080241593,68.8946893928897,-0.13235,-0.04865,0.163616973107587,-123.624460224849,-0.546788960553105,-0.36863322469971,0.63933850575092,-116.926008364214
"NO3","VAUL",2021,"high","unburned",58.4,0,9.408608243,0.215417079,-0.137593261277279,-0.148586969760722,0.288553619448944,-209.71493572454,0.00952500000000001,-0.02095,0.281778439854199,2958.30383049028,-0.303657792925934,-0.298966422136308,0.32089835584611,-105.677629002718
"NO3","VAUL",2022,"high","unburned",58.4,0,9.408608243,0.215417079,0.451885171453582,0.451885171453582,0.443422317044826,98.1272113042495,NA,NA,NA,NA,0.164826391467363,0.164826391467363,0.408106842650022,247.597996301964
"SPC","CARI",2018,"medium","unburned",29.3,0,11.29107044,0.226663862,0.405827057809556,0.451012860600073,0.246371188764853,60.7084185304542,0.0371,0.0371,NA,NA,-0.630602989702839,-0.48474908049359,0.313331424217955,-49.6875893921161
"SPC","CARI",2019,"medium","unburned",29.3,0,11.29107044,0.226663862,0.467946715409382,0.539693768996272,0.253902585018155,54.2588668019668,NA,NA,NA,NA,0.0834492894225486,-0.00079465622116727,0.53800090142692,644.703993466898
"SPC","CARI",2020,"medium","unburned",29.3,0,11.29107044,0.226663862,0.669194549954285,0.688111277875584,0.198536515256758,29.6679814966097,NA,NA,NA,NA,-0.0311624296404954,-0.00631783490136672,0.135349219859638,-434.334618388523
"SPC","CARI",2021,"medium","unburned",29.3,0,11.29107044,0.226663862,0.192915489092927,0.323348054561717,0.382564645977339,198.306858498572,0.0249,0.0249,NA,NA,-1.30621896590379,-0.928028639822577,2.42988985704867,-186.024695742141
"SPC","CARI",2022,"medium","unburned",29.3,0,11.29107044,0.226663862,0.660630292861842,0.686346188996524,0.141542014042595,21.4252987748166,NA,NA,NA,NA,-0.34399991709012,-0.337467115878396,0.287280398991532,-83.5117640206499
"SPC","FRCH",2015,"medium","unburned",32.9,7.34,12.34739776,0.212593913,0.728197368514168,0.777439024390244,0.0963051616159196,13.2251455141101,NA,NA,NA,NA,-0.125769066904665,-0.128836793483472,0.121415401500746,-96.538365505073
"SPC","FRCH",2018,"medium","unburned",32.9,7.34,12.34739776,0.212593913,0.386085972094398,0.508957654723127,0.341373121360261,88.4189393125102,-0.14525,-0.1329,0.354871039956771,-244.317411329963,-0.299407398965209,-0.330300130080152,0.142586065685047,-47.6227595503128
"SPC","FRCH",2019,"medium","unburned",32.9,7.34,12.34739776,0.212593913,0.522433954048937,0.596636999730924,0.161221425590746,30.8596760109593,-0.505344444444444,-0.4212,0.309466884783781,-61.2388022043057,-0.55102521418583,-0.514779087673628,0.247444255590514,-44.9061584152962
"SPC","FRCH",2020,"medium","unburned",32.9,7.34,12.34739776,0.212593913,0.348980811301819,0.367202470777045,0.367042340662528,105.175507872004,-0.404676923076923,-0.4495,0.360339018966505,-89.0436292306222,0.00807300593545482,-0.268854792418457,1.12288248150289,13909.1001602197
"SPC","FRCH",2021,"medium","unburned",32.9,7.34,12.34739776,0.212593913,0.664737679604655,0.656983240223457,0.122294376200572,18.3973889178819,-0.49582,-0.6133,0.285902513105429,-57.6625616363658,-0.287960585812522,-0.255913217367202,0.164870172774075,-57.2544233124371
"SPC","FRCH",2022,"medium","unburned",32.9,7.34,12.34739776,0.212593913,0.5619823977528,0.779176640697934,0.510646420673681,90.86519839689,NA,NA,NA,NA,-0.161279857532162,-0.154796766340406,0.0919436851885322,-57.0087837349418
"SPC","MOOS",2015,"high","burned",38.4,65.7,10.21119216,0.223090712,0.778292871374775,0.764760893741785,0.0665930025099456,8.55629094897347,NA,NA,NA,NA,-0.0657137473016578,-0.110618687214353,0.112347992776357,-170.965737596162
"SPC","MOOS",2018,"high","burned",38.4,65.7,10.21119216,0.223090712,0.605118708386023,0.644396551724138,0.127141148276995,21.0109432273391,0.0089,0.0089,NA,NA,-0.369250441586875,-0.231975579479923,0.405867497212462,-109.916590882931
"SPC","MOOS",2019,"high","burned",38.4,65.7,10.21119216,0.223090712,0.478508885875931,0.640477204243687,0.453926657995128,94.8627437010278,-0.14665,-0.2986,0.672973469016424,-458.897694521939,0.00589723669200771,-0.271581637357678,0.812991978758847,13785.9818287549
"SPC","MOOS",2020,"high","burned",38.4,65.7,10.21119216,0.223090712,-0.0370543258450945,-0.130710659898395,0.471341319308604,-1272.02778234057,-0.0939,-0.10145,0.24427256634069,-260.141178211597,-0.451496700789467,-0.12660442068029,1.0865079899118,-240.645831522574
"SPC","MOOS",2021,"high","burned",38.4,65.7,10.21119216,0.223090712,0.579727687602825,0.66761620308181,0.249298961102666,43.0027694784628,-0.41784,-0.5568,0.314306272606832,-75.2216811714608,-0.202117279400814,-0.172514949358911,0.157576426468728,-77.962867368822
"SPC","MOOS",2022,"high","burned",38.4,65.7,10.21119216,0.223090712,0.676540854203005,0.669761743982543,0.272803303563963,40.3232564403427,NA,NA,NA,NA,-0.0911859344212274,-0.0451667367436628,0.292664759996299,-320.953842118187
"SPC","POKE",2019,"low","burned",25.3,32.97,11.54780238,0.231690279,0.570199057583057,0.633374188503397,0.236791598554216,41.5278831848515,-0.2482,-0.3438,0.350420340448439,-141.184665772941,-0.301335738202824,-0.260330633014298,0.310867194724883,-103.163068734862
"SPC","POKE",2020,"low","burned",25.3,32.97,11.54780238,0.231690279,0.526909332101822,0.599123073803729,0.307853463840882,58.4262690153665,-0.537866666666667,-0.6818,0.360241821558797,-66.9760451584278,-0.368478457887217,-0.300469275737699,0.219803317366965,-59.6516058570354
"SPC","POKE",2021,"low","burned",25.3,32.97,11.54780238,0.231690279,0.639338352729595,0.605024213075062,0.105783924463545,16.5458436854149,NA,NA,NA,NA,-0.831139385368041,-0.775345825020319,0.303985646994124,-36.5745688804669
"SPC","POKE",2022,"low","burned",25.3,32.97,11.54780238,0.231690279,0.712509245765931,0.746619737417259,0.0884786215395081,12.4178910049645,NA,NA,NA,NA,-0.168316124031297,-0.137204737432343,0.125858899015729,-74.7753073213155
"SPC","STRT",2019,"medium","burned",30.8,67.35,13.65744347,0.226596282,0.490533107279745,0.6124387656775,0.290568373126283,59.235221601582,-0.439,-0.7747,0.631885453754608,-143.937460991938,-0.610242533876857,-0.50936021360497,0.319706623856574,-52.3900918255378
"SPC","STRT",2020,"medium","burned",30.8,67.35,13.65744347,0.226596282,0.401501987991414,0.461146971201597,0.365462065850313,91.0237251074653,NA,NA,NA,NA,-0.259774037426504,-0.280844862527468,0.554454102314941,-213.437073160866
"SPC","STRT",2021,"medium","burned",30.8,67.35,13.65744347,0.226596282,0.614879968892479,0.577803583278047,0.108957123762905,17.7200639596633,-0.87185,-0.87185,0.108965154980847,-12.4981539233638,-0.339473219849522,-0.371365439553942,0.0691814334264776,-20.3790547770288
"SPC","STRT",2022,"medium","burned",30.8,67.35,13.65744347,0.226596282,0.503196401729722,0.62262550881959,0.219391680088864,43.5996122656505,NA,NA,NA,NA,-0.0937620098740246,-0.0968358289451928,0.117048241400371,-124.83546540612
"SPC","VAUL",2019,"high","unburned",58.4,0,9.408608243,0.215417079,0.719657384825913,0.805035742264003,0.276156526705154,38.3733332732988,-0.40514,-0.1011,0.494423131538159,-122.037599728035,-0.193471332391679,-0.225694375273144,0.398235066528142,-205.836731264105
"SPC","VAUL",2020,"high","unburned",58.4,0,9.408608243,0.215417079,0.535064304522987,0.752224303441817,0.483280939134898,90.3220295298425,-0.530133333333333,-0.623,0.259727703566639,-48.9929018297232,-0.064268984728882,-0.230680600416683,0.60994711182514,-949.053597778455
"SPC","VAUL",2021,"high","unburned",58.4,0,9.408608243,0.215417079,0.448527407207424,0.451111063987579,0.182336937229544,40.6523512943817,-0.188225,-0.5279,0.787192718356397,-418.219002978561,-1.34512904038008,-0.655555348567006,1.7359027535021,-129.05102048883
"SPC","VAUL",2022,"high","unburned",58.4,0,9.408608243,0.215417079,0.43383570837022,0.43383570837022,NA,NA,NA,NA,NA,NA,-0.869624448254247,-0.869624448254247,NA,NA
"abs","FRCH",2015,"medium","unburned",32.9,7.34,12.34739776,0.212593913,-0.520223299515319,-0.47194102112676,0.0949050771994316,-18.2431423751786,NA,NA,NA,NA,0.711543149728748,0.659387132953907,0.476287475169583,66.9372581762823
"abs","FRCH",2018,"medium","unburned",32.9,7.34,12.34739776,0.212593913,-0.405570541186728,-0.46847246332656,0.147587851230568,-36.3901803120895,NA,NA,NA,NA,0.792563812489177,0.766406671093884,0.277672091590237,35.0346668892391
"abs","FRCH",2019,"medium","unburned",32.9,7.34,12.34739776,0.212593913,-0.256609673567077,-0.361234879304371,0.246060147850731,-95.8888822974992,NA,NA,NA,NA,0.99060921354766,0.966187868605715,0.62436002913521,63.0278843156723
"abs","FRCH",2020,"medium","unburned",32.9,7.34,12.34739776,0.212593913,-0.281262543255604,-0.325427091500939,0.234552713881407,-83.3928013188204,NA,NA,NA,NA,1.12775505461355,1.03503602298374,0.737067898559777,65.3570911116286
"abs","FRCH",2021,"medium","unburned",32.9,7.34,12.34739776,0.212593913,-0.307712811299913,-0.319891711078354,0.234523770080081,-76.2151465482864,NA,NA,NA,NA,0.745040794251475,0.959959963077468,0.363907542312838,48.8439754065342
"abs","FRCH",2022,"medium","unburned",32.9,7.34,12.34739776,0.212593913,-0.556752887467359,-0.5556334070739,0.101480178197225,-18.2271489706778,NA,NA,NA,NA,1.26550429686253,1.19700418280337,0.443154578429292,35.0180224222052
"abs","MOOS",2015,"high","burned",38.4,65.7,10.21119216,0.223090712,-0.511087058636229,-0.51693059997552,0.100953567526217,-19.7527144975259,NA,NA,NA,NA,0.677023870024677,0.485366129083514,0.395229093618179,58.3774237684962
"abs","MOOS",2018,"high","burned",38.4,65.7,10.21119216,0.223090712,-0.364770542642824,-0.357086929211563,0.188239163907648,-51.6048150554657,NA,NA,NA,NA,0.86880501809889,0.97916691402902,0.3550701665124,40.86879784481
"abs","MOOS",2019,"high","burned",38.4,65.7,10.21119216,0.223090712,-0.468704498028559,-0.487856487463251,0.228200790693343,-48.6875614919826,NA,NA,NA,NA,0.891729798371063,0.942299709115661,0.536883848203943,60.2070099243826
"abs","MOOS",2020,"high","burned",38.4,65.7,10.21119216,0.223090712,-0.291348410470617,-0.313964037175478,0.390923998331405,-134.177494807658,NA,NA,NA,NA,1.25761277268189,1.1186349307877,0.792347949878574,63.0041271121054
"abs","MOOS",2022,"high","burned",38.4,65.7,10.21119216,0.223090712,-0.52556715888909,-0.4880490100032,0.128661432526257,-24.4804931872482,NA,NA,NA,NA,1.14932801612569,1.20282590702312,0.532079836433042,46.294863517436
"abs","POKE",2019,"low","burned",25.3,32.97,11.54780238,0.231690279,-0.232728236563661,-0.223440132582474,0.231884797576818,-99.6375863112718,NA,NA,NA,NA,1.16879430974898,0.997313200607728,0.756677961757649,64.7400449716563
"abs","POKE",2020,"low","burned",25.3,32.97,11.54780238,0.231690279,-0.0726179409189843,-0.145154553049292,0.31684557382937,-436.318587142062,NA,NA,NA,NA,0.785085241723361,0.684578215784427,0.649071037080998,82.6752309922685
"abs","POKE",2021,"low","burned",25.3,32.97,11.54780238,0.231690279,-0.0679956968606112,-0.0134291823015142,0.127257914982015,-187.155836115466,NA,NA,NA,NA,1.07955810294514,0.981548943971565,0.434298813206794,40.2293134590888
"abs","POKE",2022,"low","burned",25.3,32.97,11.54780238,0.231690279,-0.269572281102002,-0.246730786966294,0.0672158186246498,-24.9342470783249,NA,NA,NA,NA,0.866501146028602,0.744116308326035,0.470979810179558,54.3542051084617
"abs","STRT",2019,"medium","burned",30.8,67.35,13.65744347,0.226596282,-0.23811428437597,-0.255755109337524,0.250992819740853,-105.408552199476,NA,NA,NA,NA,1.36940901092702,1.29612618252502,1.06946123136537,78.0965528072138
"abs","STRT",2020,"medium","burned",30.8,67.35,13.65744347,0.226596282,-0.361853843227754,-0.38504909481436,0.240628190667092,-66.498724601258,NA,NA,NA,NA,1.44349990283849,1.38081651672237,0.599135802289461,41.5057736485694
"abs","STRT",2021,"medium","burned",30.8,67.35,13.65744347,0.226596282,-0.294514396548797,-0.129108303579604,0.34697720334977,-117.813325058383,NA,NA,NA,NA,1.41407579465259,1.17967336221632,0.414387175568986,29.3044529250847
"abs","STRT",2022,"medium","burned",30.8,67.35,13.65744347,0.226596282,-0.247787360549609,-0.349999999999994,0.394288387327172,-159.123688332049,NA,NA,NA,NA,0.295446554521644,0.571824517520677,0.53806918067047,182.120648366218
"abs","VAUL",2019,"high","unburned",58.4,0,9.408608243,0.215417079,-0.333098292751347,-0.33454799841293,0.189603074958692,-56.9210587639452,NA,NA,NA,NA,0.978163783600045,1.17064838006495,0.464379513826951,47.4746174017856
"abs","VAUL",2020,"high","unburned",58.4,0,9.408608243,0.215417079,-0.235668517735368,-0.148279264117,0.182910017901482,-77.6132593607056,NA,NA,NA,NA,1.37834266128338,1.17599837522392,1.0669045574563,77.4048854051211
"abs","VAUL",2021,"high","unburned",58.4,0,9.408608243,0.215417079,-0.0826148122881414,-0.084031106738398,0.28656988352219,-346.874701503528,NA,NA,NA,NA,1.07246242837754,1.00211712662136,0.455052203657905,42.4305963190081
"abs","VAUL",2022,"high","unburned",58.4,0,9.408608243,0.215417079,-0.0121430185754885,-0.0121430185754885,0.240051706270771,-1976.87012317787,NA,NA,NA,NA,0.948755203119321,0.948755203119321,0.300460028808392,31.6688675667378
"fDOM","CARI",2018,"medium","unburned",29.3,0,11.29107044,0.226663862,-0.316376260633571,-0.329279318089344,0.134298905186634,-42.4491094615282,0.566314285714286,0.65,0.32377802802008,57.172851928272,0.977246805966442,0.792979061507093,0.647927208530741,66.3012868985515
"fDOM","CARI",2019,"medium","unburned",29.3,0,11.29107044,0.226663862,-0.418950233113001,-0.460251784565836,0.186409606732917,-44.4944511303417,0.60055,0.6401,0.29405941576491,48.9650180276263,0.0231063385285426,-0.0635912629636725,0.380254763350472,1645.67295195106
"fDOM","CARI",2020,"medium","unburned",29.3,0,11.29107044,0.226663862,-0.465862280944022,-0.462600875098823,0.0937634502942336,-20.1268602609835,0.59345,0.65085,0.239816027404342,40.4104857029812,0.0357452403944597,0.173377836279714,0.384042316777182,1074.38728216444
"fDOM","CARI",2021,"medium","unburned",29.3,0,11.29107044,0.226663862,-0.0332953817954017,-0.027861330614327,0.185724499257839,-557.808588587767,0.379883333333333,0.28215,0.264719575526002,69.684440536832,0.352719630317161,0.293144751588025,0.489090555726102,138.66269798659
"fDOM","CARI",2022,"medium","unburned",29.3,0,11.29107044,0.226663862,-0.444820358602109,-0.399094366962508,0.129392932837491,-29.0888063766057,NA,NA,NA,NA,0.661993343486597,0.701652382742656,0.421415719208713,63.6586037238976
"fDOM","FRCH",2015,"medium","unburned",32.9,7.34,12.34739776,0.212593913,-0.41806657109823,-0.3918139865358,0.144066795956664,-34.4602524851991,NA,NA,NA,NA,0.659934725707017,0.681564237360552,0.303330203185132,45.9636675218388
"fDOM","FRCH",2018,"medium","unburned",32.9,7.34,12.34739776,0.212593913,-0.291412031945443,-0.519327164818541,0.426721660020578,-146.432409524006,0.177683333333333,0.177,0.311570810036285,175.351736255296,0.519148549741725,0.508346992901449,0.471178744876512,90.7599077587565
"fDOM","FRCH",2019,"medium","unburned",32.9,7.34,12.34739776,0.212593913,-0.313652877129883,-0.373731543166339,0.246559359060673,-78.6089900774523,0.1205,0.0821,0.37976587853571,315.158405423826,0.786085347149289,0.98464080954262,0.707789535205828,90.0397822924192
"fDOM","FRCH",2020,"medium","unburned",32.9,7.34,12.34739776,0.212593913,-0.40228697384071,-0.43492172567449,0.258079480158867,-64.1530790059973,0.241771428571429,0.2879,0.318660691086861,131.802460269914,0.403312793505415,0.600502576862992,0.892607958432799,221.319029003431
"fDOM","FRCH",2021,"medium","unburned",32.9,7.34,12.34739776,0.212593913,-0.418771107861503,-0.556513049204766,0.258578852208136,-61.7470611878158,0.2679,0.3009,0.339106413976498,126.579475168532,0.499001581839285,0.680394627522298,0.293285490393744,58.7744610573606
"fDOM","FRCH",2022,"medium","unburned",32.9,7.34,12.34739776,0.212593913,-0.538553401775092,-0.504703679755888,0.0999602071873304,-18.5608719317078,NA,NA,NA,NA,1.04225596718687,0.825161836608803,0.500531040508725,48.0238114500508
"fDOM","MOOS",2015,"high","burned",38.4,65.7,10.21119216,0.223090712,-0.194833548699527,-0.201110221079841,0.318572259903855,-163.509961210612,NA,NA,NA,NA,0.341267489080059,0.329033757069326,0.536855030332501,157.312093155923
"fDOM","MOOS",2018,"high","burned",38.4,65.7,10.21119216,0.223090712,-0.270695082576403,-0.205085766636555,0.313358147981987,-115.760561662047,0.278475,0.2025,0.200660997289791,72.0570957140823,0.504012069016783,0.504487438383293,0.535384117600405,106.224463760327
"fDOM","MOOS",2019,"high","burned",38.4,65.7,10.21119216,0.223090712,-0.188547718050459,-0.0529374008436349,0.37400228175699,-198.359484603733,-0.39132,-0.4491,0.437181154671608,-111.719604076359,-0.0223452983227567,-0.251103588758757,0.911582906706936,-4079.52891717973
"fDOM","MOOS",2020,"high","burned",38.4,65.7,10.21119216,0.223090712,-0.0976989551658184,0.0908204002467895,0.437222786711809,-447.520432505893,-0.1324,-0.2183,0.290076386491558,-219.090926353141,0.113615260817685,-0.207427560046924,0.861594724670969,758.344185869134
"fDOM","MOOS",2021,"high","burned",38.4,65.7,10.21119216,0.223090712,-0.130182824012589,-0.0835498356384332,0.182539338840331,-140.217682497561,-0.5657,-0.5351,0.298739195062628,-52.8087670253894,-0.318611147339791,-0.243036085484686,0.245313801598402,-76.9947328103937
"fDOM","MOOS",2022,"high","burned",38.4,65.7,10.21119216,0.223090712,-0.272196597218205,-0.431561945689181,0.356423225246185,-130.943306745477,NA,NA,NA,NA,0.568701084965321,0.611477190835624,0.7334329802821,128.96634096044
"fDOM","POKE",2019,"low","burned",25.3,32.97,11.54780238,0.231690279,-0.330172651598781,-0.405229450445661,0.289610998163718,-87.7150172073147,-0.0522888888888889,-0.0409,0.460538864930107,-880.758560214824,0.327076101199018,0.383226224557918,0.69166237871031,211.468332958222
"fDOM","POKE",2020,"low","burned",25.3,32.97,11.54780238,0.231690279,-0.463292367134686,-0.476927387167709,0.16238658678944,-35.050563814325,0.246436363636364,0.2403,0.204879360955306,83.1368219901271,0.51189376933601,0.469459404466577,0.449145308508994,87.7418979120593
"fDOM","POKE",2021,"low","burned",25.3,32.97,11.54780238,0.231690279,-0.303598716127718,-0.330439366404075,0.128290435411023,-42.2565803463589,0.412633333333333,0.4472,0.202277392046994,49.0210983230457,0.856219280149692,1.03619644350048,0.53056595554028,61.9661303874776
"fDOM","POKE",2022,"low","burned",25.3,32.97,11.54780238,0.231690279,-0.392722561760985,-0.436444589490157,0.223599186522315,-56.9356610222969,NA,NA,NA,NA,0.670041928946033,0.522638131464627,0.497636987615794,74.2695294305792
"fDOM","STRT",2019,"medium","burned",30.8,67.35,13.65744347,0.226596282,-0.300194871999306,-0.342449247763894,0.281277193293067,-93.698200578762,0.2631,0.1364,0.336925051012833,128.05969251723,0.618391993874499,0.279242589305946,0.673771424479662,108.955392559044
"fDOM","STRT",2020,"medium","burned",30.8,67.35,13.65744347,0.226596282,-0.392712068458582,-0.399485989952594,0.205255662329825,-52.2661967419198,NA,NA,NA,NA,1.23809511639576,1.15946777457114,0.543996268624921,43.9381644771007
"fDOM","STRT",2021,"medium","burned",30.8,67.35,13.65744347,0.226596282,-0.399108558630259,-0.378266251817095,0.276642759806317,-69.3151659678147,0.59655,0.59655,0.18292852429296,30.6644077265879,1.04170657592323,0.979774439266413,0.394198684852579,37.8416239240129
"fDOM","STRT",2022,"medium","burned",30.8,67.35,13.65744347,0.226596282,-0.0733319532514307,0.104245355124617,0.54735884613658,-746.412473509153,NA,NA,NA,NA,0.0211681160029524,0.132864690242592,0.446124013268879,2107.52819573862
"fDOM","VAUL",2019,"high","unburned",58.4,0,9.408608243,0.215417079,0.0109459006486073,0.0644644959734712,0.24513322361895,2239.49797726457,-0.24252,-0.1027,0.423002059096643,-174.419453693156,-0.0827917519780363,-0.313622367630186,0.756811074809482,-914.114095580746
"fDOM","VAUL",2020,"high","unburned",58.4,0,9.408608243,0.215417079,0.106300162137028,0.228397892934665,0.335786680425298,315.885388765866,-0.62816,-0.69535,0.257315375884665,-40.9633494467437,-0.384980210101666,-0.432712775724002,0.354388553421023,-92.0537066898672
"fDOM","VAUL",2021,"high","unburned",58.4,0,9.408608243,0.215417079,-0.132543992105731,-0.103923637985886,0.217430260108444,-164.043844352446,0.1487,0.1133,0.709221624975813,476.947965686492,-0.518614892243928,-0.518583136327323,0.165476382169086,-31.9073718560429
"fDOM","VAUL",2022,"high","unburned",58.4,0,9.408608243,0.215417079,-0.221779728649577,-0.221779728649577,NA,NA,NA,NA,NA,NA,-0.247215166312089,-0.247215166312089,NA,NA
