"response_var","site.ID","year","pf","burn","Pf_Prob_1m_mean_x","pctburn_lg","SLOPE_MEAN","NDVI_p50__mean","Hyst_index_mn","Hyst_index_md","Hyst_index_SD","Hyst_index_CV","Flush_index_mn","Flush_index_md","Flush_index_SD","Flush_index_CV","Beta_index_mn","Beta_index_md","Beta_index_SD","Beta_index_CV"
"NO3","CARI",2018,"medium","unburned",29.3,0,11.29107044,0.226663862,-0.0671595299677492,-0.0939685314685315,0.199602170252432,-297.206026230802,NA,NA,NA,NA,-1.11996652549198,-0.546778099300665,1.5870429034842,-141.704494497016
"NO3","CARI",2019,"medium","unburned",29.3,0,11.29107044,0.226663862,0.165097780508965,0.198333333333333,0.363029183239788,219.887379539954,0.5667,0.5667,NA,NA,-0.0430293493194983,0.0266009860655011,0.226244364478793,-525.790810358065
"NO3","CARI",2020,"medium","unburned",29.3,0,11.29107044,0.226663862,0.566592673993534,0.512001156737999,0.293898924585906,51.8712892128324,NA,NA,NA,NA,-0.0758505247979731,-0.0124488072854672,0.158006389546616,-208.312849472649
"NO3","CARI",2021,"medium","unburned",29.3,0,11.29107044,0.226663862,-0.126934954559383,-0.37719298245614,0.589327984560405,-464.275570591319,NA,NA,NA,NA,-0.937989515647717,-0.303811582269704,1.72539218030181,-183.94578526929
"NO3","CARI",2022,"medium","unburned",29.3,0,11.29107044,0.226663862,0.214961192506959,0.285714285714286,0.343587749664918,159.837106250606,NA,NA,NA,NA,-0.150865470464448,-0.135412553650417,0.272763992642488,-180.799484337117
"NO3","FRCH",2015,"medium","unburned",32.9,7.34,12.34739776,0.212593913,0.135597588701523,0.0818965517241367,0.49145520156992,362.43653465823,NA,NA,NA,NA,-0.00551176761571963,-0.0652869700555597,0.513576164801103,-9317.81237177666
"NO3","FRCH",2018,"medium","unburned",32.9,7.34,12.34739776,0.212593913,0.265649678323708,0.433825840737501,0.389615302463212,146.66507594579,-0.0644333333333333,-0.0577,0.12232063876005,-189.840618872297,0.0794775940371948,-0.0898738100530231,0.457878847402151,576.110604440124
"NO3","FRCH",2019,"medium","unburned",32.9,7.34,12.34739776,0.212593913,0.201165016952652,0.139492639271715,0.250854785159565,124.700998692337,-0.256436363636364,-0.2485,0.2219330361741,-86.5450722459977,-0.349388138412317,-0.622718406384354,0.360676768506872,-103.230971190337
"NO3","FRCH",2020,"medium","unburned",32.9,7.34,12.34739776,0.212593913,0.362301642274723,0.456586602543475,0.370631478069675,102.299143813606,-0.0944928571428571,-0.1054,0.173158595443091,-183.250460065257,-0.208376621197187,-0.291333594142174,0.368873677376018,-177.022583079007
"NO3","FRCH",2021,"medium","unburned",32.9,7.34,12.34739776,0.212593913,-0.00232954639337389,0.028317152103567,0.128258855315834,-5505.74376542363,-0.101714285714286,-0.082,0.322933498977583,-317.490799556613,0.169313935356274,-0.0430067687990833,0.413045149752928,243.95224698061
