"","site.ID","datetimeAK","Q","day","fDOM","SPC","Turb","NO3","ABS_254","DateTime","MeanDischarge","nitrateuM","fDOM.QSU.mn","SpCond.uScm.mn","Turbidity.FNU.mn"
"9126","FRCH",2019-08-02 16:15:00,321.407502284908,"2019-08-02",128.592008148163,91.5636363636364,25.1481818181818,17.135,0.74785,2019-08-02 16:15:00,321.407502284908,17.135,128.592008148163,91.5636363636364,25.1481818181818
"9127","FRCH",2019-08-02 16:30:00,325.188183327873,"2019-08-02",128.47565028329,91.4636363636364,27.7890909090909,17.1,0.75240625,2019-08-02 16:30:00,325.188183327873,17.1,128.47565028329,91.4636363636364,27.7890909090909
"9128","FRCH",2019-08-02 16:45:00,326.577773712886,"2019-08-02",129.550479333223,91.3181818181818,27.3672727272727,17.108125,0.75375,2019-08-02 16:45:00,326.577773712886,17.108125,129.550479333223,91.3181818181818,27.3672727272727
"9129","FRCH",2019-08-02 17:00:00,328.595091412732,"2019-08-02",130.907640542413,91.2727272727273,29.4772727272727,17.104375,0.7548125,2019-08-02 17:00:00,328.595091412732,17.104375,130.907640542413,91.2727272727273,29.4772727272727
"9130","FRCH",2019-08-02 17:15:00,332.883681169152,"2019-08-02",132.258143930199,91.1818181818182,27.7427272727273,16.993125,0.76023125,2019-08-02 17:15:00,332.883681169152,16.993125,132.258143930199,91.1818181818182,27.7427272727273
"9131","FRCH",2019-08-02 17:30:00,335.274771827104,"2019-08-02",131.985483697422,91.0636363636364,32.4763636363636,16.955,0.77571875,2019-08-02 17:30:00,335.274771827104,16.955,131.985483697422,91.0636363636364,32.4763636363636
"9132","FRCH",2019-08-02 17:45:00,338.681679911963,"2019-08-02",NA,90.8727272727273,34.4109090909091,16.8675,0.7881375,2019-08-02 17:45:00,338.681679911963,16.8675,NA,90.8727272727273,34.4109090909091
"9133","FRCH",2019-08-02 18:00:00,342.970269668382,"2019-08-02",133.22184604913,90.6454545454545,NA,16.785,0.79644375,2019-08-02 18:00:00,342.970269668382,16.785,133.22184604913,90.6454545454545,NA
"9134","FRCH",2019-08-02 18:15:00,349.1420413693,"2019-08-02",133.730257753179,90.4636363636364,NA,16.709375,0.80881875,2019-08-02 18:15:00,349.1420413693,16.709375,133.730257753179,90.4636363636364,NA
"9135","FRCH",2019-08-02 18:30:00,354.940040112111,"2019-08-02",132.641975268964,90.0545454545454,40.7890909090909,16.61875,0.829275,2019-08-02 18:30:00,354.940040112111,16.61875,132.641975268964,90.0545454545454,40.7890909090909
"9136","FRCH",2019-08-02 18:45:00,363.51721962495,"2019-08-02",NA,89.5545454545454,NA,16.58,0.86371875,2019-08-02 18:45:00,363.51721962495,16.58,NA,89.5545454545454,NA
"9137","FRCH",2019-08-02 19:00:00,368.433536696202,"2019-08-02",130.936574260907,89.4,53.6263636363636,16.67125,0.88535625,2019-08-02 19:00:00,368.433536696202,16.67125,130.936574260907,89.4,53.6263636363636
"9138","FRCH",2019-08-02 19:15:00,375.247352865921,"2019-08-02",129.032837353842,88.8545454545455,66.0063636363636,16.50375,0.91293125,2019-08-02 19:15:00,375.247352865921,16.50375,129.032837353842,88.8545454545455,66.0063636363636
"9139","FRCH",2019-08-02 19:30:00,384.706214050318,"2019-08-02",128.318492187383,88.3636363636364,75.5354545454545,NA,0.9511625,2019-08-02 19:30:00,384.706214050318,NA,128.318492187383,88.3636363636364,75.5354545454545
"9140","FRCH",2019-08-02 19:45:00,392.909620605051,"2019-08-02",129.206520924959,87.9090909090909,NA,NA,0.9713,2019-08-02 19:45:00,392.909620605051,NA,129.206520924959,87.9090909090909,NA
"9141","FRCH",2019-08-02 20:00:00,400.978891404435,"2019-08-02",130.878023450251,87.6636363636364,84.5036363636364,NA,0.98001875,2019-08-02 20:00:00,400.978891404435,NA,130.878023450251,87.6636363636364,84.5036363636364
"9142","FRCH",2019-08-02 20:15:00,409.810025274,"2019-08-02",132.662079905388,87.1636363636364,81.1990909090909,NA,0.98585,2019-08-02 20:15:00,409.810025274,NA,132.662079905388,87.1636363636364,81.1990909090909
"9143","FRCH",2019-08-02 20:30:00,419.896613773231,"2019-08-02",136.028873769225,86.7545454545455,80.0772727272727,NA,0.984175,2019-08-02 20:30:00,419.896613773231,NA,136.028873769225,86.7545454545455,80.0772727272727
