"","site.ID","year","storm.num","response","HI","precip","temp","precip.week","precip.month","ThreeMonth","temp.week","TOTAL.TIME","Intensity","doy","burn","pf","date","TimeSinceChena"
"1","MOOS","2018","storm10","NO3",-0.182723995880547,12.827,6.44627334104938,34.925,126.746,152.273,6.2970209566075,215.5,0.0595220417633411,243.833333333333,"burned","medium",2018-09-01,114.833333333332
"2","MOOS","2018","storm11a","NO3",0.200767129045825,26.67,4.69180734126984,29.337,76.3270000000001,193.675,6.38950768849206,209.5,0.127303102625298,264.541666666667,"burned","medium",2018-09-22,135.541666666668
"3","MOOS","2018","storm3","NO3",0.54386281588448,19.431,12.3718371212121,4.318,25.908,150.749,12.2649072978304,98.5,0.197269035532995,190.958333333333,"burned","medium",2018-07-10,61.9583333333321
"4","MOOS","2018","storm5","NO3",0.382909245122982,29.845,9.25922783687943,16.51,30.861,30.861,15.086046875,140.5,0.212419928825623,216.291666666667,"burned","medium",2018-08-05,87.2916666666679
"5","MOOS","2018","storm6","NO3",0.471005042601279,34.163,9.79465419161677,12.827,62.357,70.485,10.287907790927,165.5,0.206422960725076,224.916666666667,"burned","medium",2018-08-13,95.9166666666679
"6","MOOS","2018","storm7","NO3",0.617337829795683,13.716,8.42111837121212,9.017,99.695,109.347,10.1329573412698,87.5,0.156754285714286,234.291666666667,"burned","medium",2018-08-23,105.291666666668
"7","MOOS","2018","storm8a","NO3",-0.196080486271222,22.225,6.95904722222222,21.082,108.712,123.063,9.40184796626984,87.5,0.254,237.958333333333,"burned","medium",2018-08-26,108.958333333332
"8","MOOS","2018","storm9","NO3",-0.498400000000008,6.477,4.10035141509434,37.973,132.588,147.32,7.4362226331361,52.5,0.123371428571429,241.625,"burned","medium",2018-08-30,112.625
"9","MOOS","2018","storm10","fDOM",0.126536814677562,12.827,6.44627334104938,34.925,126.746,152.273,6.2970209566075,215.5,0.0595220417633411,243.833333333333,"burned","medium",2018-09-01,114.833333333332
"10","MOOS","2018","storm11a","fDOM",-0.0122982087271579,26.67,4.69180734126984,29.337,76.3270000000001,193.675,6.38950768849206,209.5,0.127303102625298,264.541666666667,"burned","medium",2018-09-22,135.541666666668
"11","MOOS","2018","storm5","fDOM",-0.664130730389037,29.845,9.25922783687943,16.51,30.861,30.861,15.086046875,140.5,0.212419928825623,216.291666666667,"burned","medium",2018-08-05,87.2916666666679
"12","MOOS","2018","storm6","fDOM",-0.670909225627051,34.163,9.79465419161677,12.827,62.357,70.485,10.287907790927,165.5,0.206422960725076,224.916666666667,"burned","medium",2018-08-13,95.9166666666679
"13","MOOS","2018","storm7","fDOM",-0.380620284516045,13.716,8.42111837121212,9.017,99.695,109.347,10.1329573412698,87.5,0.156754285714286,234.291666666667,"burned","medium",2018-08-23,105.291666666668
