"","site.ID","datetimeAK","Q","day","fDOM.QSU","SpCond.µS.cm","Turbidity.FNU","nitrateuM","MeanDischarge","DateTime","FRCH_storm1_06_13_Q.DateTime","FRCH_storm1_06_13_Q.MeanDischarge"
"1","FRCH",2020-06-13 11:45:00,383.1372,2020-06-13 08:00:00,44.12182,43.18182,16.78182,27.10475,383.1372,2020-06-13 11:45:00,2020-06-13 11:45:00,383.1372
"2","FRCH",2020-06-13 12:00:00,381.4553,2020-06-13 08:00:00,43.88636,43.17273,14.34636,27.10686,381.4553,2020-06-13 12:00:00,2020-06-13 12:00:00,381.4553
"3","FRCH",2020-06-13 12:15:00,380.1285,2020-06-13 08:00:00,43.82636,43.14545,14.89636,27.11458,380.1285,2020-06-13 12:15:00,2020-06-13 12:15:00,380.1285
"4","FRCH",2020-06-13 12:30:00,377.8860,2020-06-13 08:00:00,43.79727,43.12727,15.40182,27.14545,377.8860,2020-06-13 12:30:00,2020-06-13 12:30:00,377.8860
"5","FRCH",2020-06-13 12:45:00,377.8581,2020-06-13 08:00:00,43.64182,43.10000,13.05455,27.11528,377.8581,2020-06-13 12:45:00,2020-06-13 12:45:00,377.8581
"6","FRCH",2020-06-13 13:00:00,374.2889,2020-06-13 08:00:00,43.38545,43.07273,14.63091,27.12721,374.2889,2020-06-13 13:00:00,2020-06-13 13:00:00,374.2889
"7","FRCH",2020-06-13 13:15:00,371.6354,2020-06-13 08:00:00,42.64273,43.08182,21.35545,27.14405,371.6354,2020-06-13 13:15:00,2020-06-13 13:15:00,371.6354
"8","FRCH",2020-06-13 13:30:00,370.1311,2020-06-13 08:00:00,43.06364,43.07273,15.25727,27.14475,370.1311,2020-06-13 13:30:00,2020-06-13 13:30:00,370.1311
"9","FRCH",2020-06-13 13:45:00,367.5055,2020-06-13 08:00:00,42.88636,43.08182,15.51182,27.16229,367.5055,2020-06-13 13:45:00,2020-06-13 13:45:00,367.5055
"10","FRCH",2020-06-13 14:00:00,367.4776,2020-06-13 08:00:00,42.76000,43.08182,17.72091,27.14405,367.4776,2020-06-13 14:00:00,2020-06-13 14:00:00,367.4776
"11","FRCH",2020-06-13 14:15:00,363.1423,2020-06-13 08:00:00,42.57000,43.09091,14.03727,27.17141,363.1423,2020-06-13 14:15:00,2020-06-13 14:15:00,363.1423
"12","FRCH",2020-06-13 14:30:00,361.2549,2020-06-13 08:00:00,42.56545,43.10909,15.10545,27.16930,361.2549,2020-06-13 14:30:00,2020-06-13 14:30:00,361.2549
"13","FRCH",2020-06-13 14:45:00,358.4239,2020-06-13 08:00:00,42.43545,43.12727,13.74727,27.17492,358.4239,2020-06-13 14:45:00,2020-06-13 14:45:00,358.4239
"14","FRCH",2020-06-13 15:00:00,354.6491,2020-06-13 08:00:00,42.26727,43.12727,16.28091,27.17632,354.6491,2020-06-13 15:00:00,2020-06-13 15:00:00,354.6491
"15","FRCH",2020-06-13 15:15:00,353.3224,2020-06-13 08:00:00,42.21727,43.11818,13.63455,27.19316,353.3224,2020-06-13 15:15:00,2020-06-13 15:15:00,353.3224
"16","FRCH",2020-06-13 15:30:00,350.3138,2020-06-13 08:00:00,42.04636,43.11818,13.86000,27.23175,350.3138,2020-06-13 15:30:00,2020-06-13 15:30:00,350.3138
"17","FRCH",2020-06-13 15:45:00,347.6882,2020-06-13 08:00:00,41.82818,43.12727,13.68273,27.20439,347.6882,2020-06-13 15:45:00,2020-06-13 15:45:00,347.6882
"18","FRCH",2020-06-13 16:00:00,347.0997,2020-06-13 08:00:00,41.66182,43.08182,14.90909,27.20579,347.0997,2020-06-13 16:00:00,2020-06-13 16:00:00,347.0997
"19","FRCH",2020-06-13 16:15:00,346.7445,2020-06-13 08:00:00,41.68182,43.06364,14.64545,27.22193,346.7445,2020-06-13 16:15:00,2020-06-13 16:15:00,346.7445
"20","FRCH",2020-06-13 16:30:00,365.9733,2020-06-13 08:00:00,41.61364,42.93636,14.22727,27.19106,365.9733,2020-06-13 16:30:00,2020-06-13 16:30:00,365.9733
"21","FRCH",2020-06-13 16:45:00,368.6268,2020-06-13 08:00:00,41.37909,42.77273,16.61455,26.98197,368.6268,2020-06-13 16:45:00,2020-06-13 16:45:00,368.6268
"22","FRCH",2020-06-13 17:00:00,370.6917,2020-06-13 08:00:00,41.31000,42.70909,18.23364,26.93776,370.6917,2020-06-13 17:00:00,2020-06-13 17:00:00,370.6917
"23","FRCH",2020-06-13 17:15:00,369.9256,2020-06-13 08:00:00,41.55091,42.65455,18.40091,26.93075,369.9256,2020-06-13 17:15:00,2020-06-13 17:15:00,369.9256
"24","FRCH",2020-06-13 17:30:00,368.2437,2020-06-13 08:00:00,41.59727,42.60909,18.75273,26.91040,368.2437,2020-06-13 17:30:00,2020-06-13 17:30:00,368.2437
"25","FRCH",2020-06-13 17:45:00,367.4776,2020-06-13 08:00:00,41.71273,42.55455,16.89182,26.88233,367.4776,2020-06-13 17:45:00,2020-06-13 17:45:00,367.4776
"26","FRCH",2020-06-13 18:00:00,365.7957,2020-06-13 08:00:00,41.92364,42.53636,18.50545,26.87532,365.7957,2020-06-13 18:00:00,2020-06-13 18:00:00,365.7957
"27","FRCH",2020-06-13 18:15:00,364.2914,2020-06-13 08:00:00,42.04364,42.48182,22.59364,26.87812,364.2914,2020-06-13 18:15:00,2020-06-13 18:15:00,364.2914
"28","FRCH",2020-06-13 18:30:00,363.1423,2020-06-13 08:00:00,42.32636,42.47273,16.82000,26.87251,363.1423,2020-06-13 18:30:00,2020-06-13 18:30:00,363.1423
"29","FRCH",2020-06-13 18:45:00,363.1423,2020-06-13 08:00:00,42.57455,42.42727,20.85455,26.79323,363.1423,2020-06-13 18:45:00,2020-06-13 18:45:00,363.1423
"30","FRCH",2020-06-13 19:00:00,365.0296,2020-06-13 08:00:00,42.99091,42.38182,17.14182,26.80796,365.0296,2020-06-13 19:00:00,2020-06-13 19:00:00,365.0296
"31","FRCH",2020-06-13 19:15:00,364.2914,2020-06-13 08:00:00,42.80636,42.38182,17.73182,26.83322,364.2914,2020-06-13 19:15:00,2020-06-13 19:15:00,364.2914
"32","FRCH",2020-06-13 19:30:00,365.4127,2020-06-13 08:00:00,42.88000,42.36364,20.62000,26.79112,365.4127,2020-06-13 19:30:00,2020-06-13 19:30:00,365.4127
"33","FRCH",2020-06-13 19:45:00,369.3929,2020-06-13 08:00:00,43.55091,42.29091,17.83545,26.74201,369.3929,2020-06-13 19:45:00,2020-06-13 19:45:00,369.3929
"34","FRCH",2020-06-13 20:00:00,372.1960,2020-06-13 08:00:00,43.84545,42.24545,20.66909,26.70131,372.1960,2020-06-13 20:00:00,2020-06-13 20:00:00,372.1960
