"","year","medianfDOM","medianNO3","medianSPC","medianTURB"
"1","2019",49.8549824145673,30.0621213905458,119,3.64
"2","2020",61.8276592570026,29.5828780477728,94,9.40818181818182
"3","2021",31.5204703042893,26.6957127499966,126.063636363636,5.859
"4","2022",40.9892547932429,27.2187748637507,130.872727272727,3.355
