"","pf","response_var","AverageCVHI","AverageCVFI","AverageCVBETA"
"1","High","NO3",0.648354910965431,0.518882871351024,-2.18880219940366
"2","High","SPC",0.659572712237919,-0.877347991301157,-2.6699815005977
"3","High","abs",-2.46367299333904,NA,0.668945804066862
"4","High","fDOM",1.5276305307501,-0.518027290247432,1.45748394907951
"5","High","turb",3.06313120818625,1.92491535065813,2.70297270866002
"6","Moderate","NO3",-0.752086112189044,-2.2071965175843,-4.5784736582232
"7","Moderate","SPC",0.553276751561302,-1.30591449061046,26.24550928735
"8","Moderate","abs",-0.641929544213201,NA,0.525230850337766
"9","Moderate","fDOM",-1.0600290468847,0.588722847284548,-1.8011635036616
"10","Moderate","turb",120.823812123212,0.820262313129666,0.508318295555925
