,column_label,HI,Q_interval,storm.ID,site.ID,storm.num,month,day,response,
Interpolated HI for 98% discharge...49,1,-0.289685949,98,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 100% discharge...50,1,0.031977854,100,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 2% discharge...51,2,0.132246377,2,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 4% discharge...52,2,-0.169565217,4,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 6% discharge...53,2,-0.117753623,6,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 8% discharge...54,2,-0.076086957,8,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 10% discharge...55,2,-0.052173913,10,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 12% discharge...56,2,-0.02826087,12,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 14% discharge...57,2,-0.017753623,14,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 16% discharge...58,2,-0.006884058,16,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 18% discharge...59,2,0.045652174,18,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 20% discharge...60,2,0.077898551,20,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 22% discharge...61,2,0.158695652,22,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 24% discharge...62,2,0.195652174,24,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 26% discharge...63,2,0.620652174,26,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 28% discharge...64,2,0.532608696,28,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 30% discharge...65,2,0.624275362,30,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 32% discharge...66,2,0.498188406,32,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 34% discharge...67,2,0.552536232,34,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 36% discharge...68,2,0.590217391,36,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 38% discharge...69,2,0.584782609,38,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 40% discharge...70,2,0.637318841,40,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 42% discharge...71,2,0.598188406,42,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 44% discharge...72,2,0.604710145,44,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 46% discharge...73,2,0.619565217,46,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 48% discharge...74,2,0.610869565,48,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 50% discharge...75,2,0.619565217,50,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 52% discharge...76,2,0.638768116,52,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 54% discharge...77,2,0.631884058,54,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 56% discharge...78,2,0.656521739,56,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 58% discharge...79,2,0.713768116,58,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 60% discharge...80,2,0.708695652,60,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 62% discharge...81,2,0.739855072,62,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 64% discharge...82,2,0.732608696,64,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 66% discharge...83,2,0.726086957,66,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 68% discharge...84,2,0.69384058,68,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 70% discharge...85,2,0.663768116,70,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 72% discharge...86,2,0.686956522,72,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 74% discharge...87,2,0.647101449,74,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 76% discharge...88,2,0.624275362,76,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 78% discharge...89,2,0.567028986,78,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 80% discharge...90,2,0.582608696,80,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 82% discharge...91,2,0.522826087,82,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 84% discharge...92,2,0.409782609,84,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 86% discharge...93,2,0.391304348,86,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 88% discharge...94,2,0.369565217,88,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 90% discharge...95,2,0.345652174,90,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 92% discharge...96,2,0.257246377,92,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 94% discharge...97,2,0.423913043,94,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 96% discharge...98,2,0.298550725,96,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 98% discharge...99,2,-0.518115942,98,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 100% discharge...100,2,-0.061594203,100,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 2% discharge...101,3,0.03442029,2,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 4% discharge...102,3,-0.006083937,4,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 6% discharge...103,3,0.030797101,6,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 8% discharge...104,3,0.029740338,8,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
Interpolated HI for 10% discharge...105,3,0.02285628,10,MOOS_storm1_07_23_turb,MOOS,storm1,7,23,turb,
