datetimeAK,Q,day,site.ID
2022-05-25T14:00:00Z,2289.988920028955,2022-05-25,MOOS
2022-05-25T15:00:00Z,2281.5759357650777,2022-05-25,MOOS
2022-05-25T16:00:00Z,2289.4429758748065,2022-05-25,MOOS
2022-05-25T17:00:00Z,2280.4840474567804,2022-05-25,MOOS
2022-05-25T18:00:00Z,2279.146893961552,2022-05-25,MOOS
2022-05-25T19:00:00Z,2276.0603581664695,2022-05-25,MOOS
2022-05-25T19:45:00Z,2275.3806986627974,2022-05-25,MOOS
2022-05-25T20:00:00Z,2278.055005653253,2022-05-25,MOOS
2022-05-25T21:00:00Z,2276.1719080038774,2022-05-25,MOOS
2022-05-25T22:00:00Z,2269.753571226783,2022-05-25,MOOS
2022-05-25T22:30:00Z,2259.4574893135286,2022-05-25,MOOS
2022-05-25T23:00:00Z,2261.452136800314,2022-05-25,MOOS
2022-05-26T00:00:00Z,2269.1854615605193,2022-05-26,MOOS
2022-05-26T01:00:00Z,2267.302363911142,2022-05-26,MOOS
2022-05-26T02:00:00Z,2264.215828116062,2022-05-26,MOOS
2022-05-26T03:00:00Z,2256.460337843739,2022-05-26,MOOS
2022-05-26T03:15:00Z,2264.215828116062,2022-05-26,MOOS
2022-05-26T03:30:00Z,2264.8733221076163,2022-05-26,MOOS
2022-05-26T04:00:00Z,2259.0009294846727,2022-05-26,MOOS
2022-05-26T05:00:00Z,2262.3327304666846,2022-05-26,MOOS
2022-05-26T06:00:00Z,2255.1231843485107,2022-05-26,MOOS
2022-05-26T07:00:00Z,2264.7617722702103,2022-05-26,MOOS
2022-05-26T07:30:00Z,2254.354140519546,2022-05-26,MOOS
2022-05-26T07:45:00Z,2260.77247729664,2022-05-26,MOOS
2022-05-26T08:00:00Z,2255.557578665251,2022-05-26,MOOS
2022-05-26T08:30:00Z,2256.237238168925,2022-05-26,MOOS
2022-05-26T09:00:00Z,2250.3648455459775,2022-05-26,MOOS
2022-05-26T09:15:00Z,2250.3648455459775,2022-05-26,MOOS
2022-05-26T09:30:00Z,2248.370198059194,2022-05-26,MOOS
2022-05-26T10:00:00Z,2252.2479431953548,2022-05-26,MOOS
2022-05-26T11:00:00Z,2256.125688331517,2022-05-26,MOOS
2022-05-26T12:00:00Z,2249.707351554423,2022-05-26,MOOS
2022-05-26T13:00:00Z,2250.2532957085714,2022-05-26,MOOS
2022-05-26T14:00:00Z,2243.177464939921,2022-05-26,MOOS
2022-05-26T15:00:00Z,2241.8403114446937,2022-05-26,MOOS
2022-05-26T16:00:00Z,2239.845663957909,2022-05-26,MOOS
2022-05-26T17:00:00Z,2249.5958017170146,2022-05-26,MOOS
2022-05-26T17:15:00Z,2243.177464939921,2022-05-26,MOOS
2022-05-26T18:00:00Z,2234.764480676043,2022-05-26,MOOS
2022-05-26T18:15:00Z,2245.7180565808544,2022-05-26,MOOS
2022-05-26T18:45:00Z,2239.29971980376,2022-05-26,MOOS
2022-05-26T19:00:00Z,2235.4219746676,2022-05-26,MOOS
2022-05-26T19:15:00Z,2234.2185365218947,2022-05-26,MOOS
2022-05-26T19:45:00Z,2232.881383026666,2022-05-26,MOOS
2022-05-26T20:00:00Z,2234.084821172371,2022-05-26,MOOS
2022-05-26T21:00:00Z,2232.4746956000704,2022-05-26,MOOS
2022-05-26T21:45:00Z,2233.4051616686993,2022-05-26,MOOS
2022-05-26T22:00:00Z,2233.4051616686993,2022-05-26,MOOS
2022-05-26T23:00:00Z,2226.307165387933,2022-05-26,MOOS
2022-05-27T00:00:00Z,2223.632858397478,2022-05-27,MOOS
2022-05-27T01:00:00Z,2227.488438021525,2022-05-27,MOOS
2022-05-27T02:00:00Z,2222.2735393901357,2022-05-27,MOOS
2022-05-27T03:00:00Z,2223.476977535841,2022-05-27,MOOS
2022-05-27T04:00:00Z,2224.1344715273954,2022-05-27,MOOS
2022-05-27T05:00:00Z,2224.1344715273954,2022-05-27,MOOS
2022-05-27T06:00:00Z,2224.680415681546,2022-05-27,MOOS
2022-05-27T07:00:00Z,2218.150529067044,2022-05-27,MOOS
2022-05-27T08:00:00Z,2226.3182481439917,2022-05-27,MOOS
2022-05-27T09:00:00Z,2217.2477698885577,2022-05-27,MOOS
2022-05-27T10:00:00Z,2215.386837751296,2022-05-27,MOOS
2022-05-27T11:00:00Z,2209.5144451283522,2022-05-27,MOOS
2022-05-27T12:00:00Z,2210.060389282497,2022-05-27,MOOS
2022-05-27T13:00:00Z,2212.7346962729525,2022-05-27,MOOS
2022-05-27T14:00:00Z,2208.3331724947607,2022-05-27,MOOS
2022-05-27T15:00:00Z,2205.1350868622703,2022-05-27,MOOS
2022-05-27T16:00:00Z,2201.937001229782,2022-05-27,MOOS
2022-05-27T17:00:00Z,2196.1983239563597,2022-05-27,MOOS
2022-05-27T18:00:00Z,2196.1983239563597,2022-05-27,MOOS
2022-05-27T19:00:00Z,2194.9948858106545,2022-05-27,MOOS
2022-05-27T20:00:00Z,2191.1171406744943,2022-05-27,MOOS
2022-05-27T20:15:00Z,2192.3205788201994,2022-05-27,MOOS
2022-05-27T21:00:00Z,2188.4428336840388,2022-05-27,MOOS
2022-05-27T21:45:00Z,2190.303765821299,2022-05-27,MOOS
2022-05-27T22:00:00Z,2189.1003276755937,2022-05-27,MOOS
2022-05-27T23:00:00Z,2183.8854290442064,2022-05-27,MOOS
2022-05-27T23:30:00Z,2182.4145601994546,2022-05-27,MOOS
2022-05-27T23:45:00Z,2188.2869528223982,2022-05-27,MOOS
2022-05-28T00:00:00Z,2185.7463611814646,2022-05-28,MOOS
2022-05-28T00:15:00Z,2180.5314625500755,2022-05-28,MOOS
2022-05-28T00:45:00Z,2183.7295481825677,2022-05-28,MOOS
2022-05-28T01:00:00Z,2183.7295481825677,2022-05-28,MOOS
