FRCH,MOOS,POKE,STRT,VAUL
1300.072879567084,NA,NA,NA,NA
1399.2977331024279,NA,NA,NA,NA
1457.8781975691143,NA,NA,NA,NA
1372.90261030678,NA,NA,NA,NA
1355.0218900748787,NA,NA,NA,NA
1342.048639694767,NA,NA,NA,NA
1397.7742134742894,NA,699.0285168728016,NA,NA
1373.7605664583307,NA,690.5929179871523,NA,NA
1439.7565400177864,NA,812.6257597072323,NA,NA
1524.5363124590683,NA,1051.948368695027,NA,NA
1634.6190500685577,NA,1266.5222867848015,NA,NA
1695.6868114997071,NA,1136.0877505602407,NA,NA
1674.3012637078552,NA,903.1540556725072,NA,NA
1636.0572683655091,2276.4141617428495,779.3787070473668,NA,NA
1602.8383000635856,2248.9579790429902,787.7813927745095,NA,491.9999170740399
1571.3484451772665,2206.7108025238526,801.3513146751254,NA,484.7490334604059
1530.6503235604807,2169.680024771653,757.8669030103742,NA,475.54801582271443
1479.8111655497125,2113.890902947198,673.6405317598135,NA,461.72285356071967
1424.0479807588133,2079.0363921245257,633.9601564610736,NA,297.25162975300117
1360.8406206187033,2028.6642946069585,584.8040931288781,NA,108.81110282681114
1305.1930442500002,1990.1872093698105,542.7088392348351,NA,87.72799950662511
1256.465764719571,1959.3017580703572,528.1906325747913,NA,82.18373596462554
1206.8499972044326,1932.1765808218831,511.6221767393283,2831.3466476003528,76.81864115451178
1166.0382268802282,1912.9529529703802,519.2036216850515,2631.229477675218,79.03276249642954
1116.3745007667924,1886.9895779642095,503.1355572792766,2386.338156784286,76.83795642008698
1056.006576573442,1857.0127552304884,482.12436157459075,2155.8154896624255,71.99782382688879
1012.5003138794018,1773.1952466957453,480.6217329117342,1968.8301945480862,NA
997.004859104585,1817.3163753249773,474.5343730983811,1791.7334520072231,NA
958.6718228691732,1799.8258388638767,453.9434932331002,1657.0039843713116,NA
943.9993703677866,1792.621907081398,442.56391220832717,1594.2481313390317,NA
919.3045099786948,1782.3187673462373,430.0625795802996,1514.9364342544573,NA
873.129251641125,1760.9574813445613,420.5202964657987,1449.8774476305462,NA
834.2804606200071,1754.794807340168,414.8731890475822,1378.3911425218312,NA
798.1487266043495,1743.5276685524561,403.4243832780418,1317.172760607571,NA
761.1212691517603,1741.5460412798868,384.9049225822247,1350.265997008208,NA
739.7395839586046,1767.4423853360126,403.13622011975417,1279.1535932769038,NA
728.1400721437867,1733.8931966876296,400.2345530376688,1246.5285495817375,NA
718.0586348248916,1729.7938930476794,388.1034882949383,1224.4464851378048,NA
729.6728912577223,1739.4168915396428,389.2401865216483,1194.9742924581803,NA
704.6725735900476,1749.3213295324974,382.5940877042819,1162.3568238556652,NA
692.5795355449297,1747.9483170238811,376.42074548082354,1155.636853385387,NA
663.6509326747054,1731.6665733180216,378.52116566327953,1139.519591717217,NA
637.511367787496,1713.8400871734127,373.45416524017435,1103.768573763773,NA
670.3320079615374,1713.3244088945498,366.4379627631002,1128.508207557669,NA
608.6888948374292,1687.0125029355474,371.5024123369066,1077.3891878407005,NA
585.3565367104466,1674.8250009473907,370.4582629629989,1053.183479660812,NA
562.8281695530125,1667.4617892174101,368.02672278710065,1029.7992861303082,NA
542.2919125759785,1647.9200196061965,365.99636960990085,994.794479596934,NA
530.9859240964067,1641.6523928278125,362.6805622700339,984.1809958826113,NA
514.0022019254263,1635.6393939701325,361.5258342196554,980.6921912160299,NA
501.9915920444413,1629.488480388702,365.57269013599074,976.367565332904,NA
501.8721553844594,1626.6211484667062,364.93062372341836,972.0526163885818,NA
485.3595835737079,1618.711085435497,360.61037374430737,956.427699996833,NA
466.9702656919626,1613.7024427159358,363.2953323537933,949.5779546467631,NA
460.7091081349323,1617.1535996163843,367.3748317647472,948.6965867477259,NA
449.8882766516201,1605.404319614343,390.46614435549594,944.8877581999619,NA
444.6590734064748,1601.8670583665612,392.3465717075994,944.9271352787896,NA
428.97668330212,1590.4750270960103,401.2104646949185,970.4068623918572,NA
410.85738978990986,1579.778180218729,399.45392353509436,1006.3134674878048,NA
466.4717267342931,1586.4137915608967,406.4320872668025,1029.9044239895263,NA
762.3496667726689,1677.844521313168,413.084517795513,1127.359136812367,NA
653.5974237260825,1698.3128554344328,415.6978435584725,1112.982642953952,NA
571.8347770282364,1655.0383424632382,398.9036942145409,1087.853076690611,NA
490.87401185098065,1655.135424202913,403.17972162296036,1063.4260986630056,NA
447.81657969341063,1618.9975257641784,401.4026647966002,1051.3909583801417,NA
463.76396690461036,1612.3296418780874,430.90474285440604,1070.200470664487,NA
463.66081960352403,1640.609513541754,458.34856688602497,1103.528155058486,NA
473.61244356321293,1616.5551350824296,442.2123041192682,1066.2640492604426,NA
520.5039599505612,1634.8165133101768,455.6988985021371,1095.3433683394367,NA
491.2707787729778,1638.2159754306485,438.5063855314357,1076.246947481719,NA
434.8615545194734,1605.6770312872668,408.97116198132153,1040.409938019741,NA
417.6175668587928,1589.7134493771307,405.05470776682705,1031.0106601178352,NA
418.11488331241964,1581.6609070357872,394.2866764830111,1042.5053167289398,NA
382.44819441669415,1576.004367357545,402.6262575027422,1048.8588550000081,NA
366.64977964358286,NA,NA,NA,NA
354.88941606157465,NA,NA,NA,NA
345.7767102162705,NA,NA,NA,NA
350.70062152256986,NA,NA,NA,NA
333.2557738059582,NA,NA,NA,NA
321.44265793871244,NA,NA,NA,NA
312.83157922827525,NA,NA,NA,NA
329.06519251448333,NA,NA,NA,59.18235019944687
317.3039876835457,NA,334.5668460069782,NA,65.68750015280469
295.2062664721431,1285.5117413645364,331.346581057832,NA,92.67548935394993
270.0870063999303,1247.4718470241874,341.0791657653207,NA,89.19831974779437
267.09139375499,1221.1775691266864,330.0643011004096,NA,82.22243560914819
366.6087897160711,1293.0250471979,328.33653121332173,NA,84.36145652890906
370.85132763769155,1338.8375064732334,328.16854977981086,NA,93.22339153869315
346.8864763747341,1325.7636343929755,331.92418113109784,NA,98.50635929254163
333.1872666988855,1312.7645299469445,327.8098168002247,NA,103.77438140800278
349.91040612270234,1356.592975378559,336.26331677078593,NA,111.71626804297708
297.2355011205052,1295.8038965634687,342.24778335048234,959.2082616424519,108.57108044019056
277.868691645331,1260.6714299475868,337.5861426019431,945.2981690022328,99.61875967022303
