"","site.ID","Q","datetimeAK","fDOM.QSU","SpCond.µS.cm","Turbidity.FNU","nitrateuM","ABS_254","MeanDischarge","DateTime","SpCond.uScm"
"1673","VAUL",917.768083164598,2020-06-21 10:00:00,198.751931794553,112.636363636364,201.700909090909,NA,1.0195,917.768083164598,2020-06-21 10:00:00,112.636363636364
"1674","VAUL",941.851323817721,2020-06-21 10:15:00,196.318318107494,110.518181818182,213,NA,1.043525,941.851323817721,2020-06-21 10:15:00,110.518181818182
"1675","VAUL",956.627956194911,2020-06-21 10:30:00,196.094672222339,108.1,212.261818181818,NA,1.059,956.627956194911,2020-06-21 10:30:00,108.1
"1676","VAUL",928.683442734947,2020-06-21 10:45:00,196.137052159395,107.909090909091,218.822727272727,NA,1.0695,928.683442734947,2020-06-21 10:45:00,107.909090909091
"1677","VAUL",973.385783585768,2020-06-21 11:00:00,195.637777049442,107.6,238.64,NA,1.083725,973.385783585768,2020-06-21 11:00:00,107.6
"1678","VAUL",976.648591474249,2020-06-21 11:15:00,196.902808572406,106.9,231.327272727273,NA,1.09415,976.648591474249,2020-06-21 11:15:00,106.9
"1679","VAUL",974.759049507723,2020-06-21 11:30:00,196.4325276177,106.645454545455,244.091818181818,NA,1.10615,974.759049507723,2020-06-21 11:30:00,106.645454545455
"1680","VAUL",974.587347682471,2020-06-21 11:45:00,196.649025359218,106.4,248.699090909091,NA,1.1198,974.587347682471,2020-06-21 11:45:00,106.4
"1681","VAUL",1009.69813919063,2020-06-21 12:00:00,196.006425257834,115.381818181818,254.519090909091,NA,1.134,1009.69813919063,2020-06-21 12:00:00,115.381818181818
"1682","VAUL",1033.33179233465,2020-06-21 12:15:00,197.371981160917,114.363636363636,258.924545454545,NA,1.14355,1033.33179233465,2020-06-21 12:15:00,114.363636363636
"1683","VAUL",1029.9918514334,2020-06-21 12:30:00,195.777084710791,113.127272727273,277.735454545455,NA,1.148975,1029.9918514334,2020-06-21 12:30:00,113.127272727273
"1684","VAUL",1028.4113432247,2020-06-21 12:45:00,197.471367088975,112.6,261.222727272727,NA,1.1528,1028.4113432247,2020-06-21 12:45:00,112.6
"1685","VAUL",1047.26712004909,2020-06-21 13:00:00,198.382322564388,111.563636363636,279.034545454545,NA,1.16155,1047.26712004909,2020-06-21 13:00:00,111.563636363636
"1686","VAUL",1041.08365197999,2020-06-21 13:15:00,197.246333944638,111.072727272727,271.107272727273,NA,1.16,1041.08365197999,2020-06-21 13:15:00,111.072727272727
"1687","VAUL",1044.08514546889,2020-06-21 13:30:00,197.41806344005,110.5,284.020909090909,NA,1.160075,1044.08514546889,2020-06-21 13:30:00,110.5
"1688","VAUL",1050.27602298949,2020-06-21 13:45:00,197.979765933918,109.954545454545,273.720909090909,NA,1.168525,1050.27602298949,2020-06-21 13:45:00,109.954545454545
"1689","VAUL",1045.14535535934,2020-06-21 14:00:00,197.052424107141,109.436363636364,255.25,NA,1.164525,1045.14535535934,2020-06-21 14:00:00,109.436363636364
