"","site.ID","Q","datetimeAK","fDOM.QSU","SpCond.µS.cm","Turbidity.FNU","nitrateuM","ABS_254","MeanDischarge","DateTime"
"3252","FRCH",847.524652925567,2020-07-07 20:45:00,49.7681804347488,63.3454545454545,24.0145454545455,34.854365350419,0.189092857142857,847.524652925567,2020-07-07 20:45:00
"3253","FRCH",847.524652925567,2020-07-07 21:00:00,50.4859959096004,63.3363636363636,22.0218181818182,34.874011265841,0.187707142857143,847.524652925567,2020-07-07 21:00:00
"3254","FRCH",843.846106914833,2020-07-07 21:15:00,52.1824489722123,63.3727272727273,23.5754545454545,34.8515587910731,0.186235714285714,843.846106914833,2020-07-07 21:15:00
"3255","FRCH",848.446112654668,2020-07-07 21:30:00,54.9725187595884,63.4,22.0872727272727,34.8950604609359,0.18465,848.446112654668,2020-07-07 21:30:00
"3256","FRCH",876.586318618879,2020-07-07 21:45:00,47.3655553459054,63.1,82.4954545454545,34.0011713092386,0.290378571428571,876.586318618879,2020-07-07 21:45:00
"3257","FRCH",937.824511888759,2020-07-07 22:00:00,45.1872065671198,62.6,124.767272727273,32.475806304694,0.397235714285714,937.824511888759,2020-07-07 22:00:00
"3258","FRCH",1022.8578576673,2020-07-07 22:15:00,48.3800055341417,61.9,176.49,31.0641069536619,0.550135714285714,1022.8578576673,2020-07-07 22:15:00
"3259","FRCH",1151.7386110422,2020-07-07 22:30:00,32.8341564005903,60.8636363636364,327.602727272727,NA,NA,1151.7386110422,2020-07-07 22:30:00
"3260","FRCH",1277.54268833199,2020-07-07 22:45:00,38.3742007035998,60.0545454545455,NA,NA,NA,1277.54268833199,2020-07-07 22:45:00
"3261","FRCH",1398.37651751575,2020-07-07 23:00:00,45.2742951937418,59.4272727272727,358.259090909091,NA,NA,1398.37651751575,2020-07-07 23:00:00
"3262","FRCH",1507.56465527839,2020-07-07 23:15:00,60.4763571675323,59.1454545454545,284.794545454545,NA,NA,1507.56465527839,2020-07-07 23:15:00
"3263","FRCH",1630.46302692009,2020-07-07 23:30:00,69.9565599989288,58.6,269.28,NA,NA,1630.46302692009,2020-07-07 23:30:00
"3264","FRCH",1604.25489648619,2020-07-07 23:45:00,71.8201575708063,58,NA,NA,NA,1604.25489648619,2020-07-07 23:45:00
"3265","FRCH",1775.68547113824,2020-07-08 00:00:00,71.8875108027383,57.6272727272727,NA,NA,NA,1775.68547113824,2020-07-08 00:00:00
"3266","FRCH",1794.79001130454,2020-07-08 00:15:00,76.446962682024,57.4181818181818,321.652727272727,NA,NA,1794.79001130454,2020-07-08 00:15:00
"3267","FRCH",1905.74739700422,2020-07-08 00:30:00,86.7753995619852,57.3181818181818,NA,NA,NA,1905.74739700422,2020-07-08 00:30:00
"3268","FRCH",1947.5099367758,2020-07-08 00:45:00,96.5318162598572,57.3636363636364,267.628181818182,NA,NA,1947.5099367758,2020-07-08 00:45:00
"3269","FRCH",1885.95963312516,2020-07-08 01:00:00,103.238328675232,57.5545454545455,NA,NA,NA,1885.95963312516,2020-07-08 01:00:00
"3270","FRCH",1955.34981585907,2020-07-08 01:15:00,106.387332855631,57.7818181818182,NA,NA,NA,1955.34981585907,2020-07-08 01:15:00
