"","site.ID","datetimeAK","Q","day","fDOM.QSU","SpCond.µS.cm","Turbidity.FNU","nitrateuM","MeanDischarge","DateTime","SpCond.uScm"
"19","MOOS",2020-07-21 00:15:00,1012.24936871944,2020-07-20 08:00:00,103.903636363636,102.790909090909,12.4372727272727,22.4509578643707,1012.24936871944,2020-07-21 00:15:00,102.790909090909
"20","MOOS",2020-07-21 00:30:00,1013.22159535124,2020-07-20 08:00:00,103.768181818182,102.754545454545,12.8563636363636,22.4529553419624,1013.22159535124,2020-07-21 00:30:00,102.754545454545
"21","MOOS",2020-07-21 00:45:00,1018.09522934584,2020-07-20 08:00:00,103.594545454545,102.681818181818,13.0745454545455,22.421994439292,1018.09522934584,2020-07-21 00:45:00,102.681818181818
"22","MOOS",2020-07-21 01:00:00,1021.99246976341,2020-07-20 08:00:00,103.722727272727,102.6,12.7363636363636,22.4010209245798,1021.99246976341,2020-07-21 01:00:00,102.6
"23","MOOS",2020-07-21 01:15:00,1021.99246976341,2020-07-20 08:00:00,103.371818181818,102.518181818182,12.9063636363636,22.3790486710717,1021.99246976341,2020-07-21 01:15:00,102.518181818182
"24","MOOS",2020-07-21 01:30:00,1026.86193681284,2020-07-20 08:00:00,103.489090909091,102.490909090909,13.2572727272727,22.3640675891344,1026.86193681284,2020-07-21 01:30:00,102.490909090909
"25","MOOS",2020-07-21 01:45:00,1028.80639007644,2020-07-20 08:00:00,103.341818181818,102.418181818182,13.3245454545455,22.361071372747,1028.80639007644,2020-07-21 01:45:00,102.418181818182
"26","MOOS",2020-07-21 02:00:00,1032.71196438439,2020-07-20 08:00:00,103.380909090909,102.381818181818,13.7663636363636,22.3351041640557,1032.71196438439,2020-07-21 02:00:00,102.381818181818
"27","MOOS",2020-07-21 02:15:00,1032.71196438439,2020-07-20 08:00:00,103.522727272727,102.309090909091,13.0772727272727,22.3021457837937,1032.71196438439,2020-07-21 02:15:00,102.309090909091
"28","MOOS",2020-07-21 02:30:00,1034.66058459319,2020-07-20 08:00:00,103.366363636364,102.263636363636,14.0145454545455,22.2592000155734,1034.66058459319,2020-07-21 02:30:00,102.263636363636
"29","MOOS",2020-07-21 02:45:00,1033.68835796136,2020-07-20 08:00:00,103.337272727273,102.190909090909,14.1372727272727,22.2042693818034,1033.68835796136,2020-07-21 02:45:00,102.190909090909
"30","MOOS",2020-07-21 03:00:00,1035.63697817019,2020-07-20 08:00:00,103.170909090909,102.154545454545,13.6745454545455,22.1892882998661,1035.63697817019,2020-07-21 03:00:00,102.154545454545
"31","MOOS",2020-07-21 03:15:00,1037.585598379,2020-07-20 08:00:00,102.981818181818,102.1,14.2554545454545,22.1673160463581,1037.585598379,2020-07-21 03:15:00,102.1
"32","MOOS",2020-07-21 03:30:00,1038.56199195597,2020-07-20 08:00:00,102.923636363636,102.045454545455,14.3772727272727,22.1673160463581,1038.56199195597,2020-07-21 03:30:00,102.045454545455
"33","MOOS",2020-07-21 03:45:00,1040.50644521959,2020-07-20 08:00:00,102.572727272727,101.936363636364,14.5672727272727,22.1163803677713,1040.50644521959,2020-07-21 03:45:00,101.936363636364
"34","MOOS",2020-07-21 04:00:00,1043.42729206019,2020-07-20 08:00:00,102.112727272727,101.809090909091,22.5654545454545,22.0724358607552,1043.42729206019,2020-07-21 04:00:00,101.809090909091
"35","MOOS",2020-07-21 04:15:00,1046.35647279114,2020-07-20 08:00:00,102.347272727273,101.709090909091,16.4136363636364,22.0834219875093,1046.35647279114,2020-07-21 04:15:00,101.709090909091
"36","MOOS",2020-07-21 04:30:00,1046.34813890079,2020-07-20 08:00:00,102.698181818182,101.645454545455,15.7336363636364,22.073434599551,1046.34813890079,2020-07-21 04:30:00,101.645454545455
"37","MOOS",2020-07-21 04:45:00,1048.30092605477,2020-07-20 08:00:00,103.072727272727,101.627272727273,15.5190909090909,22.0744333383469,1048.30092605477,2020-07-21 04:45:00,101.627272727273
"38","MOOS",2020-07-21 05:00:00,1051.2217728954,2020-07-20 08:00:00,103.063636363636,101.618181818182,15.9218181818182,22.0804257711218,1051.2217728954,2020-07-21 05:00:00,101.618181818182
"39","MOOS",2020-07-21 05:15:00,1051.2259398406,2020-07-20 08:00:00,103.274545454545,101.6,16.3109090909091,22.0934093754674,1051.2259398406,2020-07-21 05:15:00,101.6
"40","MOOS",2020-07-21 05:30:00,1055.119013313,2020-07-20 08:00:00,103.023636363636,101.545454545455,14.7263636363636,22.0544585624305,1055.119013313,2020-07-21 05:30:00,101.545454545455
"41","MOOS",2020-07-21 05:45:00,1059.9884803624,2020-07-20 08:00:00,103.329090909091,101.527272727273,16.0281818181818,22.0115127942103,1059.9884803624,2020-07-21 05:45:00,101.527272727273
"42","MOOS",2020-07-21 06:00:00,1062.90516025783,2020-07-20 08:00:00,103.818181818182,101.5,17.4818181818182,22.0314875701266,1062.90516025783,2020-07-21 06:00:00,101.5
"43","MOOS",2020-07-21 06:15:00,1069.73574835155,2020-07-20 08:00:00,103.907272727273,101.481818181818,17.4581818181818,22.0784282935301,1069.73574835155,2020-07-21 06:15:00,101.481818181818
"44","MOOS",2020-07-21 06:30:00,1073.62882182401,2020-07-20 08:00:00,104.154545454545,101.5,19.6627272727273,22.1083904574047,1073.62882182401,2020-07-21 06:30:00,101.5
"45","MOOS",2020-07-21 06:45:00,1071.68020161518,2020-07-20 08:00:00,104.388181818182,101.545454545455,20.4063636363636,22.1363551436876,1071.68020161518,2020-07-21 06:45:00,101.545454545455
"46","MOOS",2020-07-21 07:00:00,1076.55383560975,2020-07-20 08:00:00,104.355454545455,101.636363636364,17.41,22.1303627109127,1076.55383560975,2020-07-21 07:00:00,101.636363636364
"47","MOOS",2020-07-21 07:15:00,1076.54966866458,2020-07-20 08:00:00,104.323636363636,101.690909090909,16.6063636363636,22.068440905572,1076.54966866458,2020-07-21 07:15:00,101.690909090909
"48","MOOS",2020-07-21 07:30:00,1079.47468245038,2020-07-20 08:00:00,104.525454545455,101.7,17.5554545454545,22.0284913537391,1079.47468245038,2020-07-21 07:30:00,101.7
"49","MOOS",2020-07-21 07:45:00,1081.41913571404,2020-07-20 08:00:00,104.685454545455,101.709090909091,17.4672727272727,21.9985291898645,1081.41913571404,2020-07-21 07:45:00,101.709090909091
"50","MOOS",2020-07-21 08:00:00,1087.27333023076,2020-07-21 08:00:00,105.038181818182,101.8,17.4509090909091,21.924622518974,1087.27333023076,2020-07-21 08:00:00,101.8
"51","MOOS",2020-07-21 08:15:00,1088.24555686256,2020-07-21 08:00:00,105.316363636364,101.818181818182,19.0854545454545,21.9056464818533,1088.24555686256,2020-07-21 08:15:00,101.818181818182
"52","MOOS",2020-07-21 08:30:00,1087.27333023076,2020-07-21 08:00:00,104.282727272727,101.845454545455,20.7990909090909,21.8557095420624,1087.27333023076,2020-07-21 08:30:00,101.845454545455
"53","MOOS",2020-07-21 08:45:00,1093.11919085713,2020-07-21 08:00:00,105.278181818182,101.890909090909,19.4127272727273,21.7108924166686,1093.11919085713,2020-07-21 08:45:00,101.890909090909
"54","MOOS",2020-07-21 09:00:00,1092.13863033499,2020-07-21 08:00:00,105.975454545455,102,19.8136363636364,21.6399819621655,1092.13863033499,2020-07-21 09:00:00,102
"55","MOOS",2020-07-21 09:15:00,1097.99282485174,2020-07-21 08:00:00,106.417272727273,102.045454545455,18.1518181818182,21.5381106049919,1097.99282485174,2020-07-21 09:15:00,102.045454545455
"56","MOOS",2020-07-21 09:30:00,1098.96088453836,2020-07-21 08:00:00,106.681818181818,102.109090909091,16.9263636363636,21.4861761876092,1098.96088453836,2020-07-21 09:30:00,102.109090909091
"57","MOOS",2020-07-21 09:45:00,1100.91783863751,2020-07-21 08:00:00,107.462727272727,102.209090909091,18.6590909090909,21.4042796063521,1100.91783863751,2020-07-21 09:45:00,102.209090909091
