"","site.ID","Q","datetimeAK","fDOM.QSU","SpCond.µS.cm","Turbidity.FNU","nitrateuM","ABS_254","MeanDischarge","DateTime","fDOM.RFU","SpCond.uScm"
"854","POKE",488.511966035003,2020-06-12 21:15:00,41.1548415919141,100.172727272727,12.2527272727273,34.4792254069172,0.0609333333333333,488.511966035003,2020-06-12 21:15:00,41.1548415919141,100.172727272727
"855","POKE",506.723071653862,2020-06-12 21:30:00,41.3183202256112,100.154545454545,11.7609090909091,34.4208896525266,0.06174,506.723071653862,2020-06-12 21:30:00,41.3183202256112,100.154545454545
"856","POKE",499.89390704676,2020-06-12 21:45:00,41.1051243517378,100.127272727273,14.0390909090909,34.3521057033198,0.06714,499.89390704676,2020-06-12 21:45:00,41.1051243517378,100.127272727273
"857","POKE",499.89390704676,2020-06-12 22:00:00,41.1363975927669,100.072727272727,14.4345454545455,34.3103129240549,0.0709133333333333,499.89390704676,2020-06-12 22:00:00,41.1363975927669,100.072727272727
"858","POKE",502.170295249089,2020-06-12 22:15:00,41.193198532027,99.9909090909091,14.4281818181818,34.2902872173238,0.0722133333333333,502.170295249089,2020-06-12 22:15:00,41.193198532027,99.9909090909091
"859","POKE",508.999459856132,2020-06-12 22:30:00,41.4393388451492,99.9727272727273,14.7136363636364,34.2397876090454,0.0714733333333333,508.999459856132,2020-06-12 22:30:00,41.4393388451492,99.9727272727273
"860","POKE",511.275848058518,2020-06-12 22:45:00,41.6258275979764,99.9545454545455,13.6581818181818,34.2615546815792,0.0717266666666667,511.275848058518,2020-06-12 22:45:00,41.6258275979764,99.9545454545455
"861","POKE",511.275848058518,2020-06-12 23:00:00,41.9755268761804,99.9454545454546,12.0818181818182,34.3303386307861,0.0683933333333333,511.275848058518,2020-06-12 23:00:00,41.9755268761804,99.9454545454546
"862","POKE",513.552236260846,2020-06-12 23:15:00,42.2098813110054,99.9545454545455,13.2563636363636,34.4087000919077,0.0682933333333333,513.552236260846,2020-06-12 23:15:00,42.2098813110054,99.9545454545455
"863","POKE",508.999459856132,2020-06-12 23:30:00,42.5689321901057,99.9181818181818,12.4627272727273,34.533207746801,0.0665133333333333,508.999459856132,2020-06-12 23:30:00,42.5689321901057,99.9181818181818
"864","POKE",522.657789070276,2020-06-12 23:45:00,42.9562880131536,99.9181818181818,11.8954545454545,34.6716463281159,0.06482,522.657789070276,2020-06-12 23:45:00,42.9562880131536,99.9181818181818
"865","POKE",520.381400867947,2020-06-13 00:00:00,43.0865136082138,99.8818181818182,11.4018181818182,34.7926712514039,0.0658733333333333,520.381400867947,2020-06-13 00:00:00,43.0865136082138,99.8818181818182
"866","POKE",529.486953677319,2020-06-13 00:15:00,43.6634348103682,99.8,11.6345454545455,34.9981524161229,0.06654,529.486953677319,2020-06-13 00:15:00,43.6634348103682,99.8
"867","POKE",522.657789070276,2020-06-13 00:30:00,43.8597237425825,99.7636363636364,13.7236363636364,35.1479098751555,0.0695466666666667,522.657789070276,2020-06-13 00:30:00,43.8597237425825,99.7636363636364
"868","POKE",527.21056547499,2020-06-13 00:45:00,44.3441916651859,99.6727272727273,13.8490909090909,35.2880898222731,0.07176,527.21056547499,2020-06-13 00:45:00,44.3441916651859,99.6727272727273
"869","POKE",529.486953677319,2020-06-13 01:00:00,45.1178994609262,99.5818181818182,12.8772727272727,35.5301396688489,0.0714933333333333,529.486953677319,2020-06-13 01:00:00,45.1178994609262,99.5818181818182
"870","POKE",527.21056547499,2020-06-13 01:15:00,45.7445897820555,99.4818181818182,12.03,35.6772850791774,0.0711666666666667,527.21056547499,2020-06-13 01:15:00,45.7445897820555,99.4818181818182
"871","POKE",529.486953677319,2020-06-13 01:30:00,46.4279002793006,99.4,11.9663636363636,35.7608706377071,0.0731666666666667,529.486953677319,2020-06-13 01:30:00,46.4279002793006,99.4
"872","POKE",538.592506486748,2020-06-13 01:45:00,47.2355664009056,99.2909090909091,12.3881818181818,35.8427148304343,0.0737266666666667,538.592506486748,2020-06-13 01:45:00,47.2355664009056,99.2909090909091
"873","POKE",536.316118284361,2020-06-13 02:00:00,47.7896552158584,99.1818181818182,10.9045454545455,35.9559036076099,0.07352,536.316118284361,2020-06-13 02:00:00,47.7896552158584,99.1818181818182
"874","POKE",531.763341879705,2020-06-13 02:15:00,48.5770692325746,99.0818181818182,11.5927272727273,35.9759293143411,0.0756466666666667,531.763341879705,2020-06-13 02:15:00,48.5770692325746,99.0818181818182
"875","POKE",531.763341879705,2020-06-13 02:30:00,49.3330859866999,98.9818181818182,11.4918181818182,36.0769285308979,0.07562,531.763341879705,2020-06-13 02:30:00,49.3330859866999,98.9818181818182
"876","POKE",538.592506486748,2020-06-13 02:45:00,50.1358784110303,98.8727272727273,10.6363636363636,36.1605140894277,0.07622,538.592506486748,2020-06-13 02:45:00,50.1358784110303,98.8727272727273
"877","POKE",536.316118284361,2020-06-13 03:00:00,51.0057750864258,98.7636363636364,10.2181818181818,36.2615133059844,0.0759,536.316118284361,2020-06-13 03:00:00,51.0057750864258,98.7636363636364
"878","POKE",543.145282891463,2020-06-13 03:15:00,51.5226495912084,98.6636363636364,10.5045454545455,36.3520643277251,0.07834,543.145282891463,2020-06-13 03:15:00,51.5226495912084,98.6636363636364
"879","POKE",540.868894689076,2020-06-13 03:30:00,52.0549062964156,98.5,11.3754545454545,36.4095293992143,0.0801933333333333,540.868894689076,2020-06-13 03:30:00,52.0549062964156,98.5
"880","POKE",534.039730082091,2020-06-13 03:45:00,52.4480448463126,98.3818181818182,10.3663636363636,36.5140113473766,0.0808466666666667,534.039730082091,2020-06-13 03:45:00,52.4480448463126,98.3818181818182
"881","POKE",552.250835700834,2020-06-13 04:00:00,52.8695021653441,98.3454545454545,11.3981818181818,36.5044338354616,0.0823933333333333,552.250835700834,2020-06-13 04:00:00,52.8695021653441,98.3454545454545
"882","POKE",540.868894689076,2020-06-13 04:15:00,53.35670491572,98.1909090909091,10.4409090909091,36.5113992986725,0.08436,540.868894689076,2020-06-13 04:15:00,53.35670491572,98.1909090909091
"883","POKE",545.421671093849,2020-06-13 04:30:00,53.8462405318034,98.1545454545455,10.2981818181818,36.5601575411482,0.08402,545.421671093849,2020-06-13 04:30:00,53.8462405318034,98.1545454545455
"884","POKE",545.421671093849,2020-06-13 04:45:00,53.9756666194355,98.0545454545454,10.5981818181818,36.5540627608387,0.08688,545.421671093849,2020-06-13 04:45:00,53.9756666194355,98.0545454545454
"885","POKE",549.974447498505,2020-06-13 05:00:00,54.447598567789,97.9545454545455,10.4927272727273,36.5044338354616,0.0848333333333333,549.974447498505,2020-06-13 05:00:00,54.447598567789,97.9545454545455
"886","POKE",554.52722390322,2020-06-13 05:15:00,54.4137603461103,97.8727272727273,10.6554545454545,36.5436145660225,0.0873466666666667,554.52722390322,2020-06-13 05:15:00,54.4137603461103,97.8727272727273
"887","POKE",545.421671093849,2020-06-13 05:30:00,54.5891023135169,97.7727272727273,10.1636363636364,36.5688643701617,0.0875866666666667,545.421671093849,2020-06-13 05:30:00,54.5891023135169,97.7727272727273
"888","POKE",554.52722390322,2020-06-13 05:45:00,54.8313712500427,97.6909090909091,10.3654545454545,36.5575454924441,0.08718,554.52722390322,2020-06-13 05:45:00,54.8313712500427,97.6909090909091
"889","POKE",547.698059296177,2020-06-13 06:00:00,54.7239498645042,97.6545454545455,10.1181818181818,36.5470972976279,0.08848,547.698059296177,2020-06-13 06:00:00,54.7239498645042,97.6545454545455
