"","site.ID","Q","datetimeAK","fDOM.QSU","SpCond.µS.cm","Turbidity.FNU","nitrateuM","ABS_254","MeanDischarge","DateTime","SpCond.uScm"
"1990","VAUL",748.423764807565,2020-06-24 17:15:00,215.962488997535,115.718181818182,117.886363636364,7.23192672029424,0.93395,748.423764807565,2020-06-24 17:15:00,115.718181818182
"1991","VAUL",747.960550398033,2020-06-24 17:30:00,216.051067016889,115.281818181818,109.19,7.16344632934943,0.93155,747.960550398033,2020-06-24 17:30:00,115.281818181818
"1992","VAUL",746.88015262588,2020-06-24 17:45:00,216.565308352157,115.272727272727,113.181818181818,7.21309461278442,0.9303,746.88015262588,2020-06-24 17:45:00,115.272727272727
"1993","VAUL",758.487597833958,2020-06-24 18:00:00,215.399975685398,115.363636363636,101.699090909091,7.10352598727273,0.928925,758.487597833958,2020-06-24 18:00:00,115.363636363636
"1994","VAUL",746.263056433276,2020-06-24 18:15:00,215.62580241065,114.845454545455,100.471818181818,7.17714240753839,0.92845,746.263056433276,2020-06-24 18:15:00,114.845454545455
"1995","VAUL",753.836214070452,2020-06-24 18:30:00,215.604042566432,114.5,101.805454545455,7.20795858346356,0.9276,753.836214070452,2020-06-24 18:30:00,114.5
"1996","VAUL",739.795575873372,2020-06-24 18:45:00,216.110938895309,114.363636363636,105.505454545455,7.24391078870958,0.923925,739.795575873372,2020-06-24 18:45:00,114.363636363636
"1997","VAUL",736.263168841267,2020-06-24 19:00:00,216.899426864331,114.1,105.520909090909,7.18912647595374,0.922525,736.263168841267,2020-06-24 19:00:00,114.1
"1998","VAUL",742.564663438501,2020-06-24 19:15:00,217.086429774569,113.918181818182,99.4372727272727,7.18227843685925,0.920725,742.564663438501,2020-06-24 19:15:00,113.918181818182
"1999","VAUL",714.448615067798,2020-06-24 19:30:00,218.257863834681,114.009090909091,105.064545454545,6.93574902945794,0.917075,714.448615067798,2020-06-24 19:30:00,114.009090909091
"2000","VAUL",710.963753053893,2020-06-24 19:45:00,216.864775275898,113.581818181818,103.822727272727,7.20111054436908,0.9177,710.963753053893,2020-06-24 19:45:00,113.581818181818
"2001","VAUL",710.207046055395,2020-06-24 20:00:00,217.880271670012,113.7,96.5290909090909,7.3466313751268,0.914,710.207046055395,2020-06-24 20:00:00,113.7
"2002","VAUL",713.690475990437,2020-06-24 20:15:00,218.652973305098,113.736363636364,98.4081818181818,7.56234460660294,0.9124,713.690475990437,2020-06-24 20:15:00,113.736363636364
"2003","VAUL",708.543386510351,2020-06-24 20:30:00,218.710828269012,113.5,95.4681818181818,7.1857024564065,0.910725,708.543386510351,2020-06-24 20:30:00,113.5
"2004","VAUL",701.301414472166,2020-06-24 20:45:00,217.494416274945,113.7,98.5881818181818,7.16002230980219,0.9086,701.301414472166,2020-06-24 20:45:00,113.7
"2005","VAUL",694.238117860652,2020-06-24 21:00:00,217.946935150773,113.336363636364,94.8736363636364,7.16687034889667,0.90705,694.238117860652,2020-06-24 21:00:00,113.336363636364
"2006","VAUL",693.788203105241,2020-06-24 21:15:00,217.727733307142,113.590909090909,96.6036363636364,7.08640588953652,0.90635,693.788203105241,2020-06-24 21:15:00,113.590909090909
"2007","VAUL",695.738643147893,2020-06-24 21:30:00,218.534183551602,113.281818181818,93.5945454545455,7.25931887667216,0.903775,695.738643147893,2020-06-24 21:30:00,113.281818181818
"2008","VAUL",695.888764167344,2020-06-24 21:45:00,218.394237412461,113.554545454545,92.7172727272727,7.02819755723344,0.900525,695.888764167344,2020-06-24 21:45:00,113.554545454545
"2009","VAUL",675.438195343019,2020-06-24 22:00:00,219.231576418339,113.354545454545,97.07,7.22507868119976,0.8974,675.438195343019,2020-06-24 22:00:00,113.354545454545
"2010","VAUL",684.216720587639,2020-06-24 22:15:00,218.510720564012,113.563636363636,85.9272727272727,7.15659829025495,0.893975,684.216720587639,2020-06-24 22:15:00,113.563636363636
"2011","VAUL",692.139474538938,2020-06-24 22:30:00,217.421775226641,114.081818181818,91.9381818181818,7.17543039776477,0.90175,692.139474538938,2020-06-24 22:30:00,114.081818181818
"2012","VAUL",674.102908846866,2020-06-24 22:45:00,217.178096204105,113.6,89.0054545454545,7.42880784426057,0.8946,674.102908846866,2020-06-24 22:45:00,113.6
"2013","VAUL",683.322009202143,2020-06-24 23:00:00,216.583784173703,113.372727272727,88.0309090909091,7.363751472863,0.891425,683.322009202143,2020-06-24 23:00:00,113.372727272727
"2014","VAUL",683.620196519202,2020-06-24 23:15:00,217.059949789778,113.945454545455,87.3990909090909,7.02477353768619,0.8854,683.620196519202,2020-06-24 23:15:00,113.945454545455
"2015","VAUL",672.620440206141,2020-06-24 23:30:00,217.775571733222,113.8,83.0572727272727,7.35861544354214,0.88375,672.620440206141,2020-06-24 23:30:00,113.8
"2016","VAUL",669.659238782587,2020-06-24 23:45:00,217.755161297853,114.272727272727,81.9836363636364,7.18056642708564,0.8803,669.659238782587,2020-06-24 23:45:00,114.272727272727
"2017","VAUL",658.305118506331,2020-06-25 00:00:00,218.391745244048,114.536363636364,80.9390909090909,7.26787892554027,0.878225,658.305118506331,2020-06-25 00:00:00,114.536363636364
"2018","VAUL",654.487934090842,2020-06-25 00:15:00,219.123895641741,114.745454545455,79.8618181818182,7.45448799086487,0.8765,654.487934090842,2020-06-25 00:15:00,114.745454545455
